split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.002173329147888417,0.0017929414467284983,0.0014719777292434174,0.0021605859602054226,0.0016977078007222681,0.0014730501562114473
train,1,0.0025524330031687264,0.0022657722129261035,0.0013766787580464569,0.002497626168919055,0.002253408226046957,0.0013862277913908843
train,2,0.0016900928727632992,0.009929292337266164,0.0015424234244532944,0.001645431821309789,0.0007960847003728654,0.0014294320174093596
train,3,0.0035382714442066883,0.006970268827391261,0.001443215816670763,0.003447674292266377,0.0031151302914826477,0.001363142419575679
train,4,0.0025694228783713644,0.006212281434119218,0.0014708840145164753,0.0025320551629463496,0.0020987957383338035,0.001460694279047904
train,5,0.0014321303060290196,0.005301894338374078,0.0014097522396482132,0.0014124617908359309,0.00031618864955816037,0.001388102409265637
train,6,0.0017072886131544076,0.0015480034115376079,0.0015328597537049068,0.0017064161214894685,0.0008297445729090944,0.0015328695707075319
train,7,0.0016114574382288102,0.007198233737214028,0.001454674951950868,0.0016062279862772738,0.000842966060075638,0.001434685572536677
train,8,0.002342997552602819,0.0027944079340253723,0.0014628287698813952,0.002306681384006971,0.001684423215238881,0.0014498143089943189
train,9,0.003132721916116845,0.004618487741579848,0.0015153830444045247,0.0029851190375142986,0.0026830707422342073,0.0014871294144264823
train,10,0.002999973386709623,0.003514247424356042,0.0013465974679070937,0.002880860495886041,0.0025343564681386127,0.0013458476478887672
train,11,0.0024640964051584778,0.01290828110712837,0.0015197725370882287,0.002523371222577925,0.002106631890940306,0.0014560010034850273
train,12,0.0018418545461454747,0.0021974206689240783,0.0013195072260566486,0.001835606916114095,0.0011935596574231125,0.0013127874992562058
train,13,0.0014352966459890467,0.0014435320875174035,0.0014369387638899912,0.0014352817949848512,5.177086267265628e-05,0.0014368968320456431
train,14,0.00201804826894448,0.012190115500978295,0.001562722759636788,0.0020314263503838064,0.0012743660809090376,0.0014634298779645754
train,15,0.001399715907149317,0.0019488405342019685,0.001397511291225105,0.0013987391328866363,0.00016216792457915454,0.001398587848208915
train,16,0.0035853617858798295,0.004989610158051312,0.001455481117232751,0.003466597823579518,0.0031652620682053613,0.0014355274045865613
train,17,0.0029854123065964906,0.007373777568044406,0.0013874323176234398,0.002984346707186493,0.002619896815915916,0.0013791243198325565
train,18,0.002881999153284429,0.0032182875914570142,0.0013531833338540518,0.0027764508267790547,0.002486985979373481,0.0013441608820099166
train,19,0.0016678271699625711,0.005438641962781055,0.001360739528437254,0.001683654300907392,0.0009757371126343598,0.0013547901194094043
train,20,0.002762342222874861,0.002238621817499275,0.0015460544639215546,0.002721551880390704,0.002180959360740595,0.0015459872119667469
train,21,0.001372395122945376,0.001639207810924488,0.0013327249985715084,0.0013710989619787775,0.00033734202838276795,0.0013312214537945807
train,22,0.002808721995578584,0.010604896423907328,0.0014566326879365717,0.002789772820711281,0.0024628556530076734,0.0014106759711393448
train,23,0.002510843470185979,0.013244869135405634,0.001528282490965217,0.0025051872261000014,0.002169534637965355,0.0013978745785812752
train,24,0.002098941778169571,0.01263726929995359,0.0014261103649764947,0.002074041699386579,0.0016739918323702301,0.001362261832627057
test,0,0.003055683273414233,0.003918115595268145,0.001478132470466266,0.002944155203328995,0.00238449229835115,0.0014542143921410608
test,1,0.00294611644292225,0.0024649752892282467,0.0014738504572611643,0.002887881015687581,0.002428722967120236,0.0014701197695674581
test,2,0.003029996870904668,0.003591191595104187,0.0014002386566966873,0.0028999615510207377,0.002537358002461502,0.0013685628820617208
test,3,0.002269540906085098,0.0027049270328736103,0.0016433244406337943,0.0022583264124409704,0.0019484600356486485,0.0016499438430055671
test,4,0.001482624211755277,0.0018629122790853124,0.0014817158334835964,0.0014815225560219252,3.4775695853864945e-05,0.0014803663464774918
test,5,0.002356416500992901,0.007504996496545234,0.0014020922075827565,0.0023348093101393714,0.0017017220331928084,0.0013736235986822668
test,6,0.0014233547436839926,0.001434384127524,0.0014241123286333976,0.0014233261396338457,5.3470272724416124e-05,0.001424119718983299
