split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.4999661892029013e-05,4.3748005418017355e-05,1.4721329776620569e-05,1.4967420729593935e-05,4.316421430200213e-06,1.4730501562086585e-05
train,1,1.4482032532502625e-05,7.599970323674769e-05,1.3783726539048115e-05,1.4327099279896463e-05,5.797936273414909e-06,1.3862277913948513e-05
train,2,1.4471098245911472e-05,0.0004115971507072164,1.5161414260133759e-05,1.454514100119614e-05,4.370192414883361e-06,1.4294320174120234e-05
train,3,1.5424589884402263e-05,0.0002863647174559237,1.4256731213641942e-05,1.4548795009174654e-05,5.0166061415847895e-06,1.363142419576896e-05
train,4,1.528843047520241e-05,0.00023625012425321175,1.4659538301450854e-05,1.5235845089695221e-05,4.571285868498201e-06,1.4606942790455194e-05
train,5,1.3911237063586341e-05,0.00021297154838624253,1.4047180864942968e-05,1.3878098180123917e-05,1.9117154670079445e-06,1.388102409267554e-05
train,6,1.535254461294166e-05,1.858811528038332e-05,1.532860363247769e-05,1.535083974681506e-05,2.451460545066996e-06,1.5328695707071087e-05
train,7,1.450229366081899e-05,0.0002901989468351362,1.4486114160731456e-05,1.4447548172590532e-05,2.7715945209170825e-06,1.4346855725358672e-05
train,8,1.5021346356380489e-05,8.967667308613669e-05,1.4594932215437354e-05,1.4877192857123294e-05,2.6381437986973995e-06,1.449814309001412e-05
train,9,1.619615820602622e-05,0.00016824379817197773,1.5044754248943786e-05,1.558434401334626e-05,5.742516738615011e-06,1.4871294144189902e-05
train,10,1.4600213737008607e-05,0.00012610104181726207,1.344130455861705e-05,1.4258385412127377e-05,4.540185685469623e-06,1.3458476478884296e-05
train,11,1.5244190068857026e-05,0.0005001362694179985,1.492470996943465e-05,1.5424395511210087e-05,5.480901135366787e-06,1.4560010034860808e-05
train,12,1.3185706425385226e-05,7.961829506249972e-05,1.3181803045536947e-05,1.3175945872659299e-05,2.5773436746975872e-06,1.3127874992581552e-05
train,13,1.4349113358187906e-05,1.6096078663599018e-05,1.4369305030395749e-05,1.4349126943437068e-05,7.108371600205818e-07,1.436896832045766e-05
train,14,1.5397014016608063e-05,0.0005003393869823729,1.534752499082301e-05,1.5228188801270154e-05,3.0161624544014817e-06,1.4634298779644859e-05
train,15,1.3953839745395379e-05,5.823863137598334e-05,1.3977096254466156e-05,1.3952529499867244e-05,9.557284732523024e-07,1.398587848211696e-05
train,16,1.5719782279506618e-05,0.0002001097408940606,1.448684501495532e-05,1.5205096723886519e-05,5.377253934922016e-06,1.4355274045854256e-05
train,17,1.467189288835464e-05,0.00028896907467034925,1.3828195102744589e-05,1.4644387690014319e-05,5.0171867121279215e-06,1.3791243198311186e-05
train,18,1.457640566530955e-05,0.00011379426274946185,1.3492077097005458e-05,1.4186844961280992e-05,5.161598163545168e-06,1.3441608820101586e-05
train,19,1.366295076077484e-05,0.0002174258505660479,1.3586896514634846e-05,1.3737334514264266e-05,2.3993875622785432e-06,1.3547901194113367e-05
train,20,1.605131197748131e-05,6.91657798854061e-05,1.5457850164637733e-05,1.5945994822266307e-05,3.5888170498652117e-06,1.5459872119662822e-05
train,21,1.3300502029099827e-05,4.4460628033608826e-05,1.3324286773140753e-05,1.3295987625463505e-05,1.15591405516309e-06,1.3312214537904381e-05
train,22,1.5299421746767423e-05,0.00041611331441877706,1.4374300910030481e-05,1.5121739383496775e-05,6.078072311743929e-06,1.4106759711430909e-05
train,23,1.4686065872224997e-05,0.0005073312674749851,1.4728729587160289e-05,1.519583662077498e-05,6.498428996725106e-06,1.3978745785869722e-05
train,24,1.3964914183751984e-05,0.0005165740572920418,1.3992394207728408e-05,1.4458510852329247e-05,5.041526958294423e-06,1.362261832622873e-05
test,0,1.5481691146709362e-05,0.0001403728997647433,1.4707423584635622e-05,1.509961119506857e-05,3.2204205945196895e-06,1.4542143921397978e-05
test,1,1.5526218221269688e-05,8.403370908429506e-05,1.472834294206546e-05,1.53399615804717e-05,3.857234757856999e-06,1.4701197695689367e-05
test,2,1.4873798480973747e-05,0.00012533829891034272,1.3903340473985674e-05,1.4354079123227457e-05,4.891244601956084e-06,1.3685628820607776e-05
test,3,1.637583438955376e-05,8.114158438798553e-05,1.6444613592930653e-05,1.6348691630394978e-05,6.783407064803578e-06,1.649943843001017e-05
test,4,1.4613708101158779e-05,4.4162358108865575e-05,1.4814193472628886e-05,1.4609513362617961e-05,1.975826882497641e-06,1.4803663464811092e-05
test,5,1.4136951139377965e-05,0.00030453019550453044,1.3933700849462605e-05,1.4212524683610023e-05,2.4784115996115295e-06,1.3736235986837795e-05
test,6,1.4214527266120821e-05,1.6216614562183348e-05,1.4241136622181971e-05,1.4214484438521544e-05,7.68707628157555e-07,1.4241197189809198e-05
