split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.7556696609754194e-05,0.001009828761706102,2.6840117858363728e-05,2.5543099548716895e-05,2.032662043378854e-05,1.4730501562086585e-05
train,1,5.048380961045842e-05,0.001980688256842441,8.897184552151604e-05,7.656562433136308e-05,7.351575658997451e-05,1.3862277913948513e-05
train,2,0.00015350599232016502,0.009997847504547108,0.0004217531283074369,0.0003925202424074421,0.00039382808128322086,1.4294320174115941e-05
train,3,0.00032942003812308994,0.006982076713425077,0.00034093810055488765,8.946875599662829e-05,8.821096025389418e-05,1.363142419576896e-05
train,4,3.086424639908189e-05,0.00607148190010383,0.00020920596623601894,0.00020815292686635615,0.00020730026433749164,1.4606942790453915e-05
train,5,7.0542921760036e-05,0.00521570523428463,0.00015746471666315732,0.00014079142987581932,0.00014096732004842142,1.388102409267554e-05
train,6,1.5297534213999066e-05,0.00027385539622495106,1.5573939156025532e-05,1.5488238921632744e-05,2.9215345197098457e-06,1.5328695707071087e-05
train,7,0.00013571260533386622,0.007087513436225006,0.0002264283906744737,0.00018280485375507787,0.00018158726214124245,1.4346855725358672e-05
train,8,7.056495834363718e-05,0.0022335135783197887,8.49105393849411e-05,4.819987773052446e-05,4.7342604190791373e-05,1.449814309001412e-05
train,9,0.00018620106835778462,0.004384806104676759,0.0002557107017634608,0.00017782894095620344,0.0001762924616394356,1.4871294144189902e-05
train,10,0.00010821818125391232,0.003290549340555716,0.00018945189423873773,0.0001568617849917914,0.00015636365851583775,1.3458476478884296e-05
train,11,0.00032914522437828286,0.012766975196949373,0.0004772042237500243,0.0003474181389850226,0.00034655951605181524,1.4560010034859917e-05
train,12,1.3357082157315393e-05,0.001982974312219314,4.3555482840274096e-05,4.1325238944930426e-05,4.14824850121439e-05,1.3127874992581552e-05
train,13,1.4353581694663383e-05,0.00019262704398379454,1.445051690720613e-05,1.437905778353886e-05,1.671056392672072e-06,1.436896832045766e-05
train,14,0.0003098837284944467,0.012195059789811344,0.00048527996953386197,0.0003757936501132133,0.0003746095477468902,1.4634298779644959e-05
train,15,1.8053303749465265e-05,0.0014532742620820846,2.5408028343930865e-05,2.3430859693072347e-05,1.7885138350485256e-05,1.3985878482115059e-05
train,16,0.00023032957860464375,0.004796603742864604,0.00027361252373810915,0.00014895840959105864,0.00014851245608981043,1.4355274045855874e-05
train,17,0.00023714871208560512,0.007108916597468055,0.0002459172075306794,6.545369563191076e-05,6.511818404321022e-05,1.3791243198310149e-05
train,18,9.549116960468494e-05,0.0029572516786881683,0.00016190967747269015,0.00013262793660501988,0.00013139888742332958,1.3441608820101586e-05
train,19,8.99598919949559e-05,0.005356172274855644,0.00013810656547030568,0.00010520500866858375,0.00010492730440528531,1.3547901194115098e-05
train,20,3.8355533573609356e-05,0.0016388442641122301,6.983116784632083e-05,6.003005246977653e-05,5.853334903409509e-05,1.5459872119662006e-05
train,21,1.4489135958686998e-05,0.0010768700219611306,2.0848963066519722e-05,1.93286560552935e-05,1.4995466058609743e-05,1.3312214537904381e-05
train,22,0.00036716574723546916,0.010416970201979424,0.000395060444999714,0.00014713007247059998,0.00014597283339199223,1.410675971143176e-05
train,23,7.926890290522915e-05,0.013203958305177135,0.0006410968697693514,0.0006388293469633693,0.0006383437975818459,1.3978745785869722e-05
train,24,0.0001471626350138448,0.012410802054288518,0.0005876517329922431,0.000572518596955462,0.0005707331490762532,1.3622618326234723e-05
test,0,6.841156240029534e-05,0.0035959931311369004,0.00015922300564661702,0.00014374185844273562,0.0001444506026120862,1.4542143921397978e-05
test,1,4.662312976891178e-05,0.002011022164430167,9.019453864082525e-05,7.831928043136274e-05,7.749616393119157e-05,1.4701197695689367e-05
test,2,0.0001050247327497247,0.00323877288523341,0.00018858043419568644,0.0001573437960346335,0.00015750387771281627,1.3685628820607776e-05
test,3,1.920065164511641e-05,0.0018910604270545625,3.981930579111743e-05,4.109730658716118e-05,3.4908812900127825e-05,1.649943843001017e-05
test,4,1.5844528387081935e-05,0.0010241174933230076,2.0968364084160254e-05,1.9245611488965904e-05,1.373797449738985e-05,1.480366346481206e-05
test,5,2.69172090838504e-05,0.007389619735469493,0.0002766711356572693,0.00027620963531893057,0.0002759200328994416,1.3736235986837795e-05
test,6,1.422237004333713e-05,0.00020233156309984817,1.4282014598479223e-05,1.4253386554219993e-05,1.3039462088800228e-06,1.4241197189809198e-05
