split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.464333904884222e-05,4.3748005418017355e-05,1.4721329776620569e-05,1.4646772108849682e-05,1.5133814088642473e-06,1.4730501562086585e-05
train,1,1.371439872537375e-05,7.599970323674769e-05,1.3783726539048115e-05,1.3742362072551567e-05,1.3808608295915639e-06,1.3862277913948513e-05
train,2,1.4358673135510855e-05,0.0004115971507072164,1.5161414260133759e-05,1.4562415064966737e-05,4.868521318558341e-06,1.4294320174120234e-05
train,3,1.409393927091795e-05,0.0002863647174559237,1.4256731213641942e-05,1.3512735693483715e-05,2.148534719270167e-06,1.363142419576896e-05
train,4,1.4603324418221246e-05,0.00023625012425321175,1.4659538301450854e-05,1.4688675225750747e-05,1.2826494326957615e-06,1.4606942790455194e-05
train,5,1.3893951062603243e-05,0.00021297154838624253,1.4047180864942968e-05,1.3894233325267184e-05,2.0692337475323934e-06,1.388102409267554e-05
train,6,1.5272329175190715e-05,1.858811528038332e-05,1.532860363247769e-05,1.527249095679108e-05,1.3122773113169956e-06,1.5328695707071087e-05
train,7,1.4420835553629814e-05,0.0002901989468351362,1.4486114160731456e-05,1.436472441962107e-05,1.3737025765879697e-06,1.4346855725358672e-05
train,8,1.4490885663936819e-05,8.967667308613669e-05,1.4594932215437354e-05,1.4433154812638156e-05,1.739757971979278e-06,1.449814309001412e-05
train,9,1.5039794160403942e-05,0.00016824379817197773,1.5044754248943786e-05,1.489606069139687e-05,3.863491829100954e-07,1.4871294144189902e-05
train,10,1.3377005633709756e-05,0.00012610104181726207,1.344130455861705e-05,1.3507023212879022e-05,1.3134434500525311e-06,1.3458476478884296e-05
train,11,1.4746023313137542e-05,0.0005001362694179985,1.492470996943465e-05,1.4775103058425272e-05,2.302834181853754e-06,1.4560010034860808e-05
train,12,1.2914051811437209e-05,7.961829506249972e-05,1.3181803045536947e-05,1.2922069796096524e-05,2.6434097245146255e-06,1.3127874992581552e-05
train,13,1.4348952580684136e-05,1.6096078663599018e-05,1.4369305030395749e-05,1.4348999204223975e-05,7.645190909316711e-07,1.436896832045766e-05
train,14,1.5128646431695651e-05,0.0005003393869823729,1.534752499082301e-05,1.4871620514590557e-05,2.5828798621962155e-06,1.4634298779644859e-05
train,15,1.3952027512852698e-05,5.823863137598334e-05,1.3977096254466156e-05,1.395237290714542e-05,8.367618258257962e-07,1.398587848211696e-05
train,16,1.4364245029857322e-05,0.0002001097408940606,1.448684501495532e-05,1.4372074684325013e-05,1.8809576024059797e-06,1.4355274045854256e-05
train,17,1.3728810463830436e-05,0.00028896907467034925,1.3828195102744589e-05,1.3757128019532943e-05,1.654951166727994e-06,1.3791243198311186e-05
train,18,1.3484466471232316e-05,0.00011379426274946185,1.3492077097005458e-05,1.3465427748293504e-05,4.5318303213351227e-07,1.3441608820101586e-05
train,19,1.3500289576941071e-05,0.0002174258505660479,1.3586896514634846e-05,1.3552191640372027e-05,1.5317035244578473e-06,1.3547901194113367e-05
train,20,1.538862849180585e-05,6.91657798854061e-05,1.5457850164637733e-05,1.5421068074514315e-05,1.461332576146142e-06,1.5459872119662822e-05
train,21,1.328144847602967e-05,4.4460628033608826e-05,1.3324286773140753e-05,1.3278482543882142e-05,1.0675987876362303e-06,1.3312214537904381e-05
train,22,1.4339710987809876e-05,0.00041611331441877706,1.4374300910030481e-05,1.4132327553284502e-05,9.967270227469131e-07,1.4106759711430909e-05
train,23,1.3995743404078338e-05,0.0005073312674749851,1.4728729587160289e-05,1.4764554727955653e-05,4.589020441157614e-06,1.3978745785869722e-05
train,24,1.3580202940757236e-05,0.0005165740572920418,1.3992394207728408e-05,1.4298741063099787e-05,3.3714447153026408e-06,1.362261832622873e-05
test,0,1.4337226870165725e-05,0.0001403728997647433,1.4707423584635622e-05,1.4353090536949146e-05,3.2796747131049645e-06,1.4542143921397978e-05
test,1,1.4677456897376783e-05,8.403370908429506e-05,1.472834294206546e-05,1.4702687338643312e-05,1.2234232052136528e-06,1.4701197695689367e-05
test,2,1.366071813702576e-05,0.00012533829891034272,1.3903340473985674e-05,1.360082805912771e-05,2.5863267269913206e-06,1.3685628820607776e-05
test,3,1.6045585854881517e-05,8.114158438798553e-05,1.6444613592930653e-05,1.6049632209222393e-05,3.600816370474251e-06,1.649943843001017e-05
test,4,1.4604761748601052e-05,4.4162358108865575e-05,1.4814193472628886e-05,1.460175243223137e-05,2.4821980486465286e-06,1.4803663464811092e-05
test,5,1.3595844004285367e-05,0.00030453019550453044,1.3933700849462605e-05,1.3782802732741477e-05,3.0500776119515746e-06,1.3736235986837795e-05
test,6,1.4213728930133423e-05,1.6216614562183348e-05,1.4241136622181971e-05,1.4213732516885866e-05,8.831080725002841e-07,1.4241197189809198e-05
