status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,inverse_direction_kind,inverse_direction_index,inverse_active_dimension,inverse_regularization_lambda,device,training_time_seconds,evaluation_time_seconds,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,test_abs_field_error_median,test_rel_field_error_median,test_rel_field_error_max,test_forward_linear_error_median,test_forward_linear_error_max,test_forward_quadratic_error_median,test_forward_quadratic_error_max,test_observed_forward_residual_median,test_observed_forward_residual_max,test_observed_forward_residual_mse,test_clean_forward_residual_median,test_clean_forward_residual_max,test_clean_forward_residual_mse,test_observation_noise_floor_median,test_observation_noise_floor_max,test_observation_noise_floor_mse,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,2,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.461272321,1.7575000129e-05,4.01102268396e-05,6.01653402595e-05,"0,2",2.50753291168e-05,0,2.50753291168e-05,9.52553514021e-05,5.82383658841e-09,1.961670122e-08,2.54405378085e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.30584401246e-05,0.000304333307578,7.39794081889e-07,2.29144657105e-06,7.87032815965e-05,0.000301867140954,1.961670122e-08,7.87032815965e-05,0.000301867140954,1.961670122e-08,0,0,0,,,,ea351b1aa281,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-ea351b1aa281
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,2,0,default,0,1e-06,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.475877247,6.89199987391e-06,4.04786622804e-05,6.07179934206e-05,"0,2",2.52007768699e-05,0,2.52007768699e-05,9.62352099714e-05,5.9142671088e-09,1.98047051046e-08,2.57189722134e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.34129591544e-05,0.000305364426101,1.38588390452e-05,1.46794797484e-05,7.97089222344e-05,0.000302209491209,1.98047051046e-08,7.80983337684e-05,0.000302598454812,1.98052762373e-08,1.36933756037e-05,1.45979917099e-05,1.89790721957e-10,,,,07c6e55452e2,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-07c6e55452e2
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,2,0,default,0,1e-05,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.480295949,6.4449995989e-06,4.4402626062e-05,6.6603939093e-05,"0,2",2.63298066473e-05,0,2.63298066473e-05,0.000106878071539,6.79892898905e-09,3.84241457196e-08,4.52230747086e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,0.00016582241546,0.000343634385565,0.000137052974476,0.000145899750812,0.000154674254713,0.000335088659829,3.84241457196e-08,9.6106603152e-05,0.000309239634188,2.16563767957e-08,0.000136933756038,0.000145979917099,1.89790721958e-08,,,,82188c5c3195,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-82188c5c3195
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,2,0,default,0,0.0001,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.461944992,6.41499991616e-06,8.54018204046e-05,0.000128102730607,"0,2",4.20515124523e-05,0,4.20515124523e-05,0.000214153948762,2.26534802746e-08,1.90043183644e-06,1.92308531672e-06,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,0.00138892505655,0.00150505458645,0.00136945210665,0.00145970283756,0.00136927394889,0.00148727552986,1.90043183644e-06,0.000228098351533,0.000380344370514,5.54063917637e-08,0.00136933756038,0.00145979917099,1.89790721958e-06,,,,c6b4f962ec8a,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-c6b4f962ec8a
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,10,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.464982897,6.26000019111e-06,0.00101466828466,0.00152200242699,"0,2",0.000623359371389,0,0.000623359371389,0.00242064548258,3.8135338256e-06,1.18260715529e-05,1.56396053785e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00201129274229,0.00738972189882,8.88142952593e-05,0.000276281267621,0.00183309707194,0.00712267422023,1.18260715529e-05,0.00183309707194,0.00712267422023,1.18260715529e-05,0,0,0,,,,fb736ce94926,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-fb736ce94926
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,10,0,default,0,1e-06,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.460465532,5.24400002178e-06,0.00101488301127,0.00152232451691,"0,2",0.000623484819142,0,0.000623484819142,0.00242116421467,3.815864019e-06,1.18262856652e-05,1.56421496842e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00201071949577,0.00739042064235,9.02009640786e-05,0.000276039874334,0.00183314813063,0.00712264759708,1.18262856652e-05,0.00183247647091,0.0071233747245,1.18309137417e-05,1.36933756037e-05,1.45979917099e-05,1.89790721957e-10,,,,8a612e150137,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-8a612e150137
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,10,0,default,0,1e-05,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.409526045,5.78800063522e-06,0.00101803970673,0.0015270595601,"0,2",0.00062461384892,0,0.00062461384892,0.00242950527128,3.83690654676e-06,1.18451397099e-05,1.56820462567e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00200914944269,0.00739800271393,0.000157509875496,0.00030688303188,0.00183750721949,0.00712374815129,1.18451397099e-05,0.00184914675856,0.00712968171746,1.18746496149e-05,0.000136933756038,0.000145979917099,1.89790721958e-08,,,,6432705428b7,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-6432705428b7
complete,lando1d,default,full,"alpha,gamma",born,1234,32,0,10,0,default,0,0.0001,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.412311261,5.5299997257e-06,0.001056002641,0.0015840039615,"0,2",0.000635904146694,0,0.000635904146694,0.00253210377631,4.0543397569e-06,1.37094566363e-05,1.77637963932e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00248154944663,0.00759937143019,0.00139307478654,0.00147400887402,0.00226964328281,0.00726599668395,1.37094566363e-05,0.00203079334236,0.00719299229388,1.23274700365e-05,0.00136933756038,0.00145979917099,1.89790721958e-06,,,,5dfa0071ab4a,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-1234/run-5dfa0071ab4a
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,2,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.427135102001,1.2085999515e-05,4.01102268396e-05,6.01653402595e-05,"0,2",2.50753291168e-05,0,2.50753291168e-05,9.52553514021e-05,5.82383658841e-09,1.961670122e-08,2.54405378085e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.30584401246e-05,0.000304333307578,7.39794081889e-07,2.29144657105e-06,7.87032815965e-05,0.000301867140954,1.961670122e-08,7.87032815965e-05,0.000301867140954,1.961670122e-08,0,0,0,,,,dbb38e1b2173,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-dbb38e1b2173
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,2,0,default,0,1e-06,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.409691223,5.85700036027e-06,4.05423086071e-05,6.08134629106e-05,"0,2",2.51938154702e-05,0,2.51938154702e-05,9.64331103511e-05,5.92164368863e-09,1.98192924474e-08,2.5740936136e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.33013107271e-05,0.000305657766193,1.44952891828e-05,1.55901398818e-05,7.99331911313e-05,0.000302113651636,1.98192924474e-08,7.77301969539e-05,0.000302918152602,1.97725086762e-08,1.44946870257e-05,1.54706058334e-05,2.04284501069e-10,,,,127e61ffd818,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-127e61ffd818
