split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,2.3881113279040417e-07,4.105527093471028e-05,1.9053197019480958e-07,5.393528693674514e-08,5.393528693674514e-08,0.0
train,1,9.62285772756533e-07,7.654976157303851e-05,6.897038599171851e-07,3.096011781778111e-07,3.096011781778111e-07,0.0
train,2,3.535609246540637e-06,0.00041308096171099477,3.4929222879834913e-06,1.1940989883706986e-07,1.1940989883706986e-07,0.0
train,3,4.576013245212207e-06,0.0002875251522550226,2.837639246872803e-06,2.8183314901113055e-06,2.8183314901113055e-06,0.0
train,4,1.6690860223579506e-06,0.0002361344475158096,1.6148858659044398e-06,6.509218317838008e-08,6.509218317838008e-08,0.0
train,5,1.3225202316029734e-06,0.00021351324607996245,1.2808323862136237e-06,9.285944436802156e-08,9.285944436802156e-08,0.0
train,6,2.749276445065164e-08,1.1041080942638122e-05,2.282128753418782e-08,5.360278459413672e-09,5.360278459413672e-09,0.0
train,7,2.1592545676581004e-06,0.0002901796244050734,1.8564597068612352e-06,6.858476546673254e-07,6.858476546673254e-07,0.0
train,8,9.712862867078514e-07,8.689952100470178e-05,6.329386112103095e-07,4.7226832541005065e-07,4.7226832541005065e-07,0.0
train,9,2.8724668020915326e-06,0.00016773409082863674,1.93478131318903e-06,1.1888627634937053e-06,1.1888627634937053e-06,0.0
train,10,2.0358610638472805e-06,0.0001258014274600083,1.4418113393408465e-06,6.835648314756134e-07,6.835648314756134e-07,0.0
train,11,5.155916133525095e-06,0.0004993023040429591,3.7321442991147184e-06,2.9020947532879497e-06,2.9020947532879497e-06,0.0
train,12,3.325207019990558e-07,8.065925051292254e-05,3.225412263876018e-07,1.1919362711249958e-08,1.1919362711249958e-08,0.0
train,13,9.2147528337008e-09,7.735698486976284e-06,8.648623863044824e-09,1.2276840122545952e-09,1.2276840122545952e-09,0.0
train,14,4.987288280315064e-06,0.0005010590877200063,3.997721201220251e-06,2.1874492509391822e-06,2.1874492509391822e-06,0.0
train,15,1.8710777776410776e-07,5.748089367236896e-05,1.7370908137132788e-07,2.9036657493390793e-08,2.9036657493390793e-08,0.0
train,16,3.438524854460337e-06,0.0001997544669103943,2.2974497683321787e-06,1.5765278683754801e-06,1.5765278683754801e-06,0.0
train,17,3.4626118935955187e-06,0.00028726209754096596,2.0331594952229518e-06,2.438913498673271e-06,2.438913498673271e-06,0.0
train,18,1.7393224228570832e-06,0.00011334253229841466,1.229304509374022e-06,5.889499157208743e-07,5.889499157208743e-07,0.0
train,19,1.445702217453775e-06,0.0002178792767181724,1.1215020235943207e-06,6.998123797200143e-07,6.998123797200143e-07,0.0
train,20,7.728562250072112e-07,6.759763657068425e-05,5.67941608719343e-07,2.3005147869364374e-07,2.3005147869364374e-07,0.0
train,21,1.2091205488152156e-07,4.35841253702355e-05,1.2014234574883912e-07,2.8801950790017618e-09,2.8801950790017618e-09,0.0
train,22,5.318452876437858e-06,0.00041491105991412126,3.0787850269764513e-06,3.838994795745801e-06,3.838994795745801e-06,0.0
train,23,4.8958756169590036e-06,0.0005074764507529944,4.881052405474978e-06,2.1781191904418784e-08,2.1781191904418784e-08,0.0
train,24,4.932367835222497e-06,0.0005148470943498761,4.929808848700558e-06,6.242710656065167e-08,6.242710656065167e-08,0.0
test,0,1.516323047661481e-06,0.0001392273270896143,1.198358711951305e-06,3.541234136940594e-07,3.541234136940594e-07,0.0
test,1,9.900804927918797e-07,8.305844012459559e-05,7.397940818891844e-07,2.7802096166190203e-07,2.7802096166190203e-07,0.0
test,2,1.982158071189089e-06,0.00012378887828311448,1.416964433439707e-06,6.425802851470392e-07,6.425802851470392e-07,0.0
test,3,3.467099925866652e-07,7.6764508141262e-05,3.212287458512163e-07,3.2077021842098954e-08,3.2077021842098954e-08,0.0
test,4,1.0833219640223868e-07,4.0488468479825275e-05,1.0665349301698397e-07,4.294156086312371e-09,4.294156086312371e-09,0.0
test,5,2.306546217039929e-06,0.0003043333075780703,2.291446571050968e-06,1.515390111860613e-08,1.515390111860613e-08,0.0
test,6,9.651003174539446e-09,8.047578864218425e-06,9.37460266884788e-09,6.182027963099988e-10,6.182027963099988e-10,0.0
