split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,3.6826582650776382e-06,0.0002549990038831678,2.949873020292735e-06,8.199419971969894e-07,8.199419971969894e-07,0.0
train,1,1.538944327477242e-05,0.00048471615356171694,1.0941322073619433e-05,5.042954678071318e-06,5.042954678071318e-06,0.0
train,2,5.438306588449623e-05,0.0025502994028727527,5.375842490565789e-05,1.7886124452948349e-06,1.7886124452948349e-06,0.0
train,3,6.907634406700197e-05,0.0017772811720074245,4.358072408368979e-05,4.240865260767235e-05,4.240865260767235e-05,0.0
train,4,2.6437488498741977e-05,0.0014912880846720995,2.5560342320271057e-05,1.053213238494642e-06,1.053213238494642e-06,0.0
train,5,2.0429490165456686e-05,0.00132290250060173,1.9802256105543075e-05,1.4149508005202138e-06,1.4149508005202138e-06,0.0
train,6,4.2708492970136575e-07,6.88103203649455e-05,3.550965300088199e-07,8.265941861087693e-08,8.265941861087693e-08,0.0
train,7,3.332262853572787e-05,0.0017977239219451359,2.8710444747352977e-05,1.0620544212417518e-05,1.0620544212417518e-05,0.0
train,8,1.550663765749518e-05,0.0005485755219993574,1.0011552503986851e-05,7.607355347801601e-06,7.607355347801601e-06,0.0
train,9,4.6336814368609994e-05,0.0010657281561584754,3.0821043966880065e-05,1.954052298189377e-05,1.954052298189377e-05,0.0
train,10,3.2770118598979704e-05,0.000799507020015573,2.2964953598884883e-05,1.125476434963097e-05,1.125476434963097e-05,0.0
train,11,8.113261611665114e-05,0.0031466109293859018,5.881670309868067e-05,4.51714113358119e-05,4.51714113358119e-05,0.0
train,12,5.15561711378183e-06,0.000501136416286751,5.002807048570867e-06,1.826391387733709e-07,1.826391387733709e-07,0.0
train,13,1.4366314428227437e-07,4.826958255841161e-05,1.348725920603512e-07,1.9112690627374746e-08,1.9112690627374746e-08,0.0
train,14,7.690632297132512e-05,0.0030999197368473497,6.173256079486466e-05,3.406407129938767e-05,3.406407129938767e-05,0.0
train,15,2.941333244247713e-06,0.0003608468837612289,2.7284760534024284e-06,4.5788662284993113e-07,4.5788662284993113e-07,0.0
train,16,5.198504834033404e-05,0.001229442530929605,3.523777205504838e-05,2.3501035785902562e-05,2.3501035785902562e-05,0.0
train,17,5.2735137737862805e-05,0.0017881381542939583,3.13896632926412e-05,3.7154790115642e-05,3.7154790115642e-05,0.0
train,18,2.7952450863957835e-05,0.0007196684208442758,1.955902951765899e-05,9.667864810691238e-06,9.667864810691238e-06,0.0
train,19,2.2420438549070077e-05,0.001353183075759577,1.7397973448790674e-05,1.0930486213966945e-05,1.0930486213966945e-05,0.0
train,20,1.1821698747148273e-05,0.0004175980326836305,8.75083053952439e-06,3.458163378814597e-06,3.458163378814597e-06,0.0
train,21,1.8795409511580305e-06,0.0002712978182478572,1.8678257646604102e-06,4.434238466415841e-08,4.434238466415841e-08,0.0
train,22,8.4985633045219e-05,0.002596649382917721,4.856762253695435e-05,6.15040518385039e-05,6.15040518385039e-05,0.0
train,23,7.79094252488728e-05,0.003218737360329585,7.767161042434273e-05,3.5818842198640523e-07,3.5818842198640523e-07,0.0
train,24,7.573770153075934e-05,0.003173267328606745,7.57086431473953e-05,9.264497210248384e-07,9.264497210248384e-07,0.0
test,0,2.4297394735852574e-05,0.0008806321864674972,1.9056108770291583e-05,5.83108991884873e-06,5.83108991884873e-06,0.0
test,1,1.5117953856707203e-05,0.0005128532233866543,1.13830802806351e-05,4.161821728948633e-06,4.161821728948633e-06,0.0
test,2,3.1903238359095193e-05,0.0007866750943943883,2.257238985040242e-05,1.0586598744801799e-05,1.0586598744801799e-05,0.0
test,3,5.367847005395662e-06,0.0004768494317991641,4.97999954766468e-06,4.886699071400296e-07,4.886699071400296e-07,0.0
test,4,1.7012564203561422e-06,0.000254044527271422,1.6744968606847987e-06,6.799038477964812e-08,6.799038477964812e-08,0.0
test,5,3.554613125362446e-05,0.0018811265078886776,3.531613507740087e-05,2.3095300069202816e-07,2.3095300069202816e-07,0.0
test,6,1.5113709033842473e-07,5.038380647065702e-05,1.4678514491383904e-07,9.709285809177603e-09,9.709285809177603e-09,0.0
