split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,4.700549441541758e-10,6.438492451849141e-07,3.741497612595787e-10,1.0705649886406519e-10,1.0705649886406519e-10,0.0
train,1,1.8544047704988576e-09,1.1871434852614362e-06,1.3353684112109712e-09,5.90374540515539e-10,5.90374540515539e-10,0.0
train,2,6.970051039783041e-09,6.501368858694366e-06,6.883371227093228e-09,2.3915572777245424e-10,2.3915572777245424e-10,0.0
train,3,9.118656275408918e-09,4.5222258012284714e-06,5.599232940615118e-09,5.629078999438818e-09,5.629078999438818e-09,0.0
train,4,3.234429205380857e-09,3.6675264889610326e-06,3.1307136960470653e-09,1.246026987048136e-10,1.246026987048136e-10,0.0
train,5,2.6005296499416315e-09,3.353278549178724e-06,2.5172764759203116e-09,1.840856096696069e-10,1.840856096696069e-10,0.0
train,6,5.388020810645573e-11,1.7280514627079836e-07,4.4682952385306926e-11,1.0549929782220215e-11,1.0549929782220215e-11,0.0
train,7,4.2482934357432786e-09,4.557634499466258e-06,3.6478681424108792e-09,1.346838362319256e-09,1.346838362319256e-09,0.0
train,8,1.873443529431237e-09,1.3499991789548386e-06,1.2275034761128636e-09,9.063201618030474e-10,9.063201618030474e-10,0.0
train,9,5.507805474844393e-09,2.596220775740873e-06,3.737212785397314e-09,2.2554350746254968e-09,2.2554350746254968e-09,0.0
train,10,3.908786459166189e-09,1.9468885991435664e-06,2.785200096729265e-09,1.2955389942397073e-09,1.2955389942397073e-09,0.0
train,11,1.0031420207493443e-08,7.764604829843772e-06,7.253311945638632e-09,5.68289649447769e-09,5.68289649447769e-09,0.0
train,12,6.524117854533991e-10,1.2647033214938334e-06,6.326900424502559e-10,2.3546843887640002e-11,2.3546843887640002e-11,0.0
train,13,1.80268709682114e-11,1.2098516542481e-07,1.6917015439649265e-11,2.412498376997061e-12,2.412498376997061e-12,0.0
train,14,9.81774196526745e-09,7.87629652389359e-06,7.862319147043289e-09,4.282111494500933e-09,4.282111494500933e-09,0.0
train,15,3.6416285030217114e-10,8.958372776925286e-07,3.3824485527162035e-10,5.641301101609558e-11,5.641301101609558e-11,0.0
train,16,6.847038977620527e-09,3.1497088158430807e-06,4.536870302059632e-09,3.1661707379208146e-09,3.1661707379208146e-09,0.0
train,17,6.86467645902004e-09,4.4994995357161795e-06,3.9993826563641e-09,4.835901355167429e-09,4.835901355167429e-09,0.0
train,18,3.3424550348068554e-09,1.7549817352736501e-06,2.3761414502263055e-09,1.1181177906557654e-09,1.1181177906557654e-09,0.0
train,19,2.836261508647308e-09,3.4170344662588113e-06,2.199682693636467e-09,1.3673135657256516e-09,1.3673135657256516e-09,0.0
train,20,1.5285318709940297e-09,1.0634979761259802e-06,1.118465149622461e-09,4.596951563383834e-10,4.596951563383834e-10,0.0
train,21,2.368720226429201e-10,6.826231831920344e-07,2.3534542677025947e-10,5.6768440537566914e-12,5.6768440537566914e-12,0.0
train,22,1.025362468746291e-08,6.478728199339695e-06,5.980861804140027e-09,7.3922751571471475e-09,7.3922751571471475e-09,0.0
train,23,9.462588261852337e-09,7.862700260982764e-06,9.434072695419764e-09,4.133105051137775e-11,4.133105051137775e-11,0.0
train,24,9.7336329549576e-09,8.111217711818689e-06,9.727720098661704e-09,1.2574294700181713e-10,1.2574294700181713e-10,0.0
test,0,2.9190739337856866e-09,2.160568065027293e-06,2.3171007597265017e-09,6.711702359040355e-10,6.711702359040355e-10,0.0
test,1,1.9602148398949032e-09,1.3071429209765701e-06,1.4581008261298857e-09,5.569441748005802e-10,5.569441748005802e-10,0.0
test,2,3.805886348490239e-09,1.915807370351984e-06,2.736984709905443e-09,1.2174374758640817e-09,1.2174374758640817e-09,0.0
test,3,6.808351738838507e-10,1.2037691003088404e-06,6.302998873329611e-10,6.359030221160662e-11,6.359030221160662e-11,0.0
test,4,2.109680237496912e-10,6.311970880850601e-07,2.0772860905486868e-10,8.32208416173371e-12,8.32208416173371e-12,0.0
test,5,4.5418515703948346e-09,4.7864416992129155e-06,4.511921789403876e-09,3.0033800795893354e-11,3.0033800795893354e-11,0.0
test,6,1.882537006391885e-11,1.2561777627101265e-07,1.8288064340194076e-11,1.2052735171826775e-12,1.2052735171826775e-12,0.0
