split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,3.7562657193507565e-09,2.574042092922681e-06,2.9908728128596874e-09,8.544764841331002e-10,8.544764841331002e-10,0.0
train,1,1.4863615039277405e-08,4.753648887742568e-06,1.0696223634940295e-08,4.739115989699129e-09,4.739115989699129e-09,0.0
train,2,5.5685949628470766e-08,2.5978426118205057e-05,5.49963742774772e-08,1.9063448842049045e-09,1.9063448842049045e-09,0.0
train,3,7.274063637399343e-08,1.8071806483425923e-05,4.4728116907842004e-08,4.488812535351677e-08,4.488812535351677e-08,0.0
train,4,2.590436983582471e-08,1.46826396680694e-05,2.5072204652283072e-08,9.996852531580724e-10,9.996852531580724e-10,0.0
train,5,2.0784123654091162e-08,1.3403271422270588e-05,2.0120218197992142e-08,1.4695428368518615e-09,1.4695428368518615e-09,0.0
train,6,4.308306720759641e-10,6.910555430341861e-07,3.5733252579510624e-10,8.43079918789674e-11,8.43079918789674e-11,0.0
train,7,3.39506687743507e-08,1.821699318622614e-05,2.9157712351787923e-08,1.0766245192743304e-08,1.0766245192743304e-08,0.0
train,8,1.501434711876937e-08,5.4044311413614904e-06,9.829913259294286e-09,7.268736456174286e-09,7.268736456174286e-09,0.0
train,9,4.417830594767501e-08,1.0398825285440318e-05,2.994482288101158e-08,1.8118256247158082e-08,1.8118256247158082e-08,0.0
train,10,3.134656624334079e-08,7.79817531604716e-06,2.2316485303423598e-08,1.0408720058512471e-08,1.0408720058512471e-08,0.0
train,11,8.029458541829475e-08,3.1079399668471886e-05,5.8067453344813066e-08,4.5445570088037095e-08,4.5445570088037095e-08,0.0
train,12,5.215898892117307e-09,5.056288235290308e-06,5.0583860669803946e-09,1.8807825203718837e-10,1.8807825203718837e-10,0.0
train,13,1.4414085005466686e-10,4.838749524504126e-07,1.3526798900042797e-10,1.921734479848785e-11,1.921734479848785e-11,0.0
train,14,7.845305316337606e-08,3.147800078086801e-05,6.283620327398656e-08,3.424524010287804e-08,3.424524010287804e-08,0.0
train,15,2.9147594815977255e-09,3.5846609638972316e-06,2.7071265502271517e-09,4.5163473179796934e-10,4.5163473179796934e-10,0.0
train,16,5.462486104839626e-08,1.2582374355717738e-05,3.623762285829082e-08,2.5228251823392866e-08,2.5228251823392866e-08,0.0
train,17,5.4800395288366694e-08,1.799161106167171e-05,3.19623634237899e-08,3.860340215102808e-08,3.860340215102808e-08,0.0
train,18,2.680143935096796e-08,7.0289879762770835e-06,1.9037255181404052e-08,8.981104247582694e-09,8.981104247582694e-09,0.0
train,19,2.267554317351174e-08,1.3660864037236654e-05,1.7586847625846107e-08,1.0937863569233439e-08,1.0937863569233439e-08,0.0
train,20,1.2206291750885242e-08,4.2498000069948484e-06,8.93710660853232e-09,3.6655615151799227e-09,3.6655615151799227e-09,0.0
train,21,1.894148770570417e-09,2.7295640017746517e-06,1.8819637768850044e-09,4.533789243382901e-11,4.533789243382901e-11,0.0
train,22,8.218086108547862e-08,2.59172080604877e-05,4.788348104041202e-08,5.925730117799067e-08,5.925730117799067e-08,0.0
train,23,7.581347711848776e-08,3.1488530186768594e-05,7.558484498849334e-08,3.320028480481487e-10,3.320028480481487e-10,0.0
train,24,7.775350850942675e-08,3.240640476730252e-05,7.770729333075415e-08,1.001468835261432e-09,1.001468835261432e-09,0.0
test,0,2.3400591146806673e-08,8.650693441571195e-06,1.8563324696320834e-08,5.39234198376408e-09,5.39234198376408e-09,0.0
test,1,1.565117487867493e-08,5.2231849134953364e-06,1.1649586441761383e-08,4.439404022597031e-09,4.439404022597031e-09,0.0
test,2,3.052110647131802e-08,7.673642786759782e-06,2.193040399627002e-08,9.781697647513234e-09,9.781697647513234e-09,0.0
test,3,5.442469225809046e-09,4.812596126727878e-06,5.039064425269448e-09,5.076487064891285e-10,5.076487064891285e-10,0.0
test,4,1.6884448278738443e-09,2.5256065378738004e-06,1.6624762980698364e-09,6.665662326940023e-11,6.665662326940023e-11,0.0
test,5,3.629233760477757e-08,1.912779485287772e-05,3.605340102559642e-08,2.397692171219592e-10,2.397692171219592e-10,0.0
test,6,1.506280336218008e-10,5.025428272651346e-07,1.4632644360144622e-10,9.634532582631736e-12,9.634532582631736e-12,0.0
