split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,2.998360086746249e-08,1.0285353155601468e-05,2.3890008416279097e-08,6.804325633614667e-09,6.804325633614667e-09,0.0
train,1,1.1936508686284028e-07,1.9055343781066958e-05,8.578304718940479e-08,3.817286856058564e-08,3.817286856058564e-08,0.0
train,2,4.4430175840045e-07,0.00010369813146979045,4.3884629806213167e-07,1.5141476410692963e-08,1.5141476410692963e-08,0.0
train,3,5.78600141653861e-07,7.215108264344034e-05,3.56778048339829e-07,3.5681064222993967e-07,3.5681064222993967e-07,0.0
train,4,2.0769962067145346e-07,5.883114746106155e-05,2.0100329692828872e-07,8.043448786089289e-09,8.043448786089289e-09,0.0
train,5,1.6595235755344738e-07,5.35345516896013e-05,1.6067486068088166e-07,1.1706436880766048e-08,1.1706436880766048e-08,0.0
train,6,3.443286980225157e-09,2.7629031293970993e-06,2.8566525008592004e-09,6.729906718613499e-10,6.729906718613499e-10,0.0
train,7,2.710365832498859e-07,7.275990195055833e-05,2.3285916370907973e-07,8.599586956804363e-08,8.599586956804363e-08,0.0
train,8,1.2054494281738041e-07,2.1653303726661833e-05,7.879795371629302e-08,5.844233857750149e-08,5.844233857750149e-08,0.0
train,9,3.5529029527919007e-07,4.1707350807634385e-05,2.403164732194793e-07,1.4615266062926502e-07,1.4615266062926502e-07,0.0
train,10,2.5199992295148695e-07,3.1278059411975666e-05,1.790929603511034e-07,8.398649282797544e-08,8.398649282797544e-08,0.0
train,11,6.430565280466195e-07,0.0001244860768338948,4.6519682526158964e-07,3.632891189699586e-07,3.632891189699586e-07,0.0
train,12,4.167300475188777e-08,2.0204989906406654e-05,4.04171333280054e-08,1.4997147089039055e-09,1.4997147089039055e-09,0.0
train,13,1.1526940147580737e-09,1.9349744120731473e-06,1.0817804897592814e-09,1.5364886825722985e-10,1.5364886825722985e-10,0.0
train,14,6.262099584339827e-07,0.0001256952676553534,5.016948064549782e-07,2.737796552932567e-07,2.737796552932567e-07,0.0
train,15,2.3341484921128454e-08,1.4349152248344644e-05,2.1675844510003648e-08,3.6185539595870875e-09,3.6185539595870875e-09,0.0
train,16,4.3458811314293015e-07,5.0198411404307596e-05,2.889882793822969e-07,2.0022155156318034e-07,2.0022155156318034e-07,0.0
train,17,4.3653657687883155e-07,7.191568825635991e-05,2.5517788518922556e-07,3.074948060133899e-07,3.074948060133899e-07,0.0
train,18,2.154056705985607e-07,2.8188754838493813e-05,1.527501818384338e-07,7.243223024984964e-08,7.243223024984964e-08,0.0
train,19,1.8117254969974978e-07,5.458539924090473e-05,1.4052539187455579e-07,8.749336137873608e-08,8.749336137873608e-08,0.0
train,20,9.730054763355461e-08,1.696578177638389e-05,7.132795115160611e-08,2.9133426705957235e-08,2.9133426705957235e-08,0.0
train,21,1.5140100345902554e-08,1.0910835452526313e-05,1.5043037051395325e-08,3.618059105461325e-10,3.618059105461325e-10,0.0
train,22,6.5988669785772e-07,0.0001036877403290583,3.836565536155894e-07,4.759781252653791e-07,4.759781252653791e-07,0.0
train,23,6.08321208954772e-07,0.00012625730100974733,6.064842543512255e-07,2.6778981546612954e-09,2.6778981546612954e-09,0.0
train,24,6.201885485380466e-07,0.00012931923330143782,6.19835943286448e-07,7.941444062103156e-09,7.941444062103156e-09,0.0
test,0,1.8797725544114425e-07,3.4670419970368023e-05,1.4893319459619324e-07,4.3509703520806974e-08,4.3509703520806974e-08,0.0
test,1,1.247231610468673e-07,2.0849811057730952e-05,9.295453836279957e-08,3.5258473465271584e-08,3.5258473465271584e-08,0.0
test,2,2.453599864505954e-07,3.077826488951451e-05,1.759985776936397e-07,7.893499020947646e-08,7.893499020947646e-08,0.0
test,3,4.347252532396287e-08,1.9230580865226494e-05,4.025937344592108e-08,4.043909201974339e-09,4.043909201974339e-09,0.0
test,4,1.3518855626713676e-08,1.0108979431157631e-05,1.3310407792982778e-08,5.344183487076913e-10,5.344183487076913e-10,0.0
test,5,2.8966176918100366e-07,7.63679026884635e-05,2.877583366588729e-07,1.910107045035038e-09,1.910107045035038e-09,0.0
test,6,1.2054720875685503e-09,2.0107453804748547e-06,1.1710106236986576e-09,7.714397355965846e-11,7.714397355965846e-11,0.0
