status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,inverse_direction_kind,inverse_direction_index,inverse_active_dimension,inverse_regularization_lambda,device,training_time_seconds,evaluation_time_seconds,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,test_abs_field_error_median,test_rel_field_error_median,test_rel_field_error_max,test_forward_linear_error_median,test_forward_linear_error_max,test_forward_quadratic_error_median,test_forward_quadratic_error_max,test_observed_forward_residual_median,test_observed_forward_residual_max,test_observed_forward_residual_mse,test_clean_forward_residual_median,test_clean_forward_residual_max,test_clean_forward_residual_mse,test_observation_noise_floor_median,test_observation_noise_floor_max,test_observation_noise_floor_mse,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,1234,32,0,0.25,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.330793645,6.86299972585e-06,2.43565622697e-10,3.65348434046e-10,"0,2",5.12179822363e-11,0,5.12179822363e-11,6.79478885855e-10,3.82230982457e-19,3.21118110363e-19,7.0334909282e-19,1,1,0.89,0.89,200,200,178,178,0,0,,,,,,,,1.30714292098e-06,4.78644169921e-06,1.45810082613e-09,4.5119217894e-09,6.35903022116e-11,1.21743747586e-09,3.21118110363e-19,6.35903022116e-11,1.21743747586e-09,3.21118110363e-19,0,0,0,,,,4570b0e7b526,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-1234/run-4570b0e7b526
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,1234,32,0,0.5,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.312758878,1.06489997052e-05,1.95114645076e-09,2.92671967613e-09,"0,2",4.10211991359e-10,0,4.10211991359e-10,5.44322736091e-09,2.45506169913e-17,2.06838573471e-17,4.52344743383e-17,1,1,0.89,0.89,200,200,178,178,0,0,,,,,,,,5.2231849135e-06,1.91277948529e-05,1.16495864418e-08,3.60534010256e-08,5.07648706489e-10,9.78169764751e-09,2.06838573471e-17,5.07648706489e-10,9.78169764751e-09,2.06838573471e-17,0,0,0,,,,56bb0ff60bb7,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-1234/run-56bb0ff60bb7
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,1234,32,0,1,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.319066606,1.12079997052e-05,1.56514193775e-08,2.34771290662e-08,"0,2",3.28922873066e-09,0,3.28922873066e-09,4.36650294018e-08,1.58261673355e-15,1.34104002795e-15,2.9236567615e-15,1,1,0.89,0.89,200,200,178,178,0,0,,,,,,,,2.08498110577e-05,7.63679026885e-05,9.29545383628e-08,2.87758336659e-07,4.04390920197e-09,7.89349902095e-08,1.34104002795e-15,4.04390920197e-09,7.89349902095e-08,1.34104002795e-15,0,0,0,,,,9d9c68dca3bf,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-1234/run-9d9c68dca3bf
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,1234,32,0,2,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.356192503,5.00900023326e-06,1.25900646099e-07,1.88850969148e-07,"0,2",2.64367240163e-08,0,2.64367240163e-08,3.51265214281e-07,1.02780096941e-13,8.81265525871e-14,1.90906649528e-13,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.30584401246e-05,0.000304333307578,7.39794081889e-07,2.29144657105e-06,3.20770218421e-08,6.42580285147e-07,8.81265525871e-14,3.20770218421e-08,6.42580285147e-07,8.81265525871e-14,0,0,0,,,,a3b842ac922c,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-1234/run-a3b842ac922c
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,1234,32,0,5,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.337391161,5.12699989486e-06,2.00118100849e-06,3.00177151274e-06,"0,2",4.19129309798e-07,0,4.19129309798e-07,5.58441371568e-06,2.62600893313e-11,2.33850424654e-11,4.96451317967e-11,1,1,0.8872,0.89,200,200,177.44,178,0,0,,,,,,,,0.000512853223387,0.00188112650789,1.13830802806e-05,3.53161350774e-05,4.8866990714e-07,1.05865987448e-05,2.33850424654e-11,4.8866990714e-07,1.05865987448e-05,2.33850424654e-11,0,0,0,,,,5a78d7d5f581,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-1234/run-5a78d7d5f581
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,1234,32,0,10,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.352433183,6.39900008537e-06,1.65099761866e-05,2.47649642798e-05,"0,2",3.44217588905e-06,0,3.44217588905e-06,4.60877526706e-05,1.82231515892e-09,1.74108512918e-09,3.56340028809e-09,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00201129274229,0.00738972189882,8.88142952593e-05,0.000276281267621,3.75034604004e-06,9.27370345572e-05,1.74108512918e-09,3.75034604004e-06,9.27370345572e-05,1.74108512918e-09,0,0,0,,,,646ad92f6478,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-1234/run-646ad92f6478
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,2025,32,0,0.25,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.368749607,5.30000033905e-06,2.43565622697e-10,3.65348434046e-10,"0,2",5.12179822363e-11,0,5.12179822363e-11,6.79478885855e-10,3.82230982457e-19,3.21118110363e-19,7.0334909282e-19,1,1,0.89,0.89,200,200,178,178,0,0,,,,,,,,1.30714292098e-06,4.78644169921e-06,1.45810082613e-09,4.5119217894e-09,6.35903022116e-11,1.21743747586e-09,3.21118110363e-19,6.35903022116e-11,1.21743747586e-09,3.21118110363e-19,0,0,0,,,,ed44fe234599,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-2025/run-ed44fe234599
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,2025,32,0,0.5,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.390332524001,6.74100010656e-06,1.95114645076e-09,2.92671967613e-09,"0,2",4.10211991359e-10,0,4.10211991359e-10,5.44322736091e-09,2.45506169913e-17,2.06838573471e-17,4.52344743383e-17,1,1,0.89,0.89,200,200,178,178,0,0,,,,,,,,5.2231849135e-06,1.91277948529e-05,1.16495864418e-08,3.60534010256e-08,5.07648706489e-10,9.78169764751e-09,2.06838573471e-17,5.07648706489e-10,9.78169764751e-09,2.06838573471e-17,0,0,0,,,,f0e43daf4e85,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-2025/run-f0e43daf4e85
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,2025,32,0,1,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.375025631,7.59000067774e-06,1.56514193775e-08,2.34771290662e-08,"0,2",3.28922873066e-09,0,3.28922873066e-09,4.36650294018e-08,1.58261673355e-15,1.34104002795e-15,2.9236567615e-15,1,1,0.89,0.89,200,200,178,178,0,0,,,,,,,,2.08498110577e-05,7.63679026885e-05,9.29545383628e-08,2.87758336659e-07,4.04390920197e-09,7.89349902095e-08,1.34104002795e-15,4.04390920197e-09,7.89349902095e-08,1.34104002795e-15,0,0,0,,,,396237cd0c18,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-2025/run-396237cd0c18
complete,lando1d,default,full,"alpha,gamma",explicit_quadratic,2025,32,0,2,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.34577254,5.64199945075e-06,1.25900646099e-07,1.88850969148e-07,"0,2",2.64367240163e-08,0,2.64367240163e-08,3.51265214281e-07,1.02780096941e-13,8.81265525871e-14,1.90906649528e-13,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.30584401246e-05,0.000304333307578,7.39794081889e-07,2.29144657105e-06,3.20770218421e-08,6.42580285147e-07,8.81265525871e-14,3.20770218421e-08,6.42580285147e-07,8.81265525871e-14,0,0,0,,,,19ded885160b,output/results/heart_problem/matrix/inv-man-lando1d-block1-slope-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/explicit-quadratic/seed-2025/run-19ded885160b
