status,project,preset,active_params,model,seed,n_refs,radius_pct,n_sensors,noise,observation_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,run_hash,run_dir
complete,lorenz,default,"beta,rho,sigma",mlp,1234,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0296412043931,0.0296412043931,"0,1,2",0.0118291141593,0.0438040706352,0.0118291141593,0.0438040706352,0.00780456373468,0.00587780354545,0.0136823672801,7bf34b94549c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1234/run-7bf34b94549c
complete,lorenz,default,"beta,rho,sigma",mlp,1234,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0442072534863,0.0442072534863,"0,1,2",0.0229962232167,0.0734392973802,0.0229962232167,0.0734392973802,0.018483357504,1.03444206715,1.05292546749,5cfb7d05c39a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1234/run-5cfb7d05c39a
complete,lorenz,default,"beta,rho,sigma",mlp,1234,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.0235813309543,0.0235813309543,"0,1,2",0.0160649279042,0.034716435383,0.0160649279042,0.034716435383,0.00564760435373,0.00369141763076,0.00933902151883,72db8000eca8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1234/run-72db8000eca8
complete,lorenz,default,"beta,rho,sigma",mlp,1234,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.034377906447,0.034377906447,"0,1,2",0.0168632641979,0.047260770359,0.0168632641979,0.047260770359,0.00940143596381,1.04829061031,1.05769205093,d3a7d6350b36,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1234/run-d3a7d6350b36
complete,lorenz,default,"beta,rho,sigma",mlp,1235,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0154736415653,0.0154736415653,"0,1,2",0.00654294921965,0.0239651471647,0.00654294921965,0.0239651471647,0.00167288270313,0.00124978763051,0.00292267045006,24bd0a9577d4,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1235/run-24bd0a9577d4
complete,lorenz,default,"beta,rho,sigma",mlp,1235,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0189651457105,0.0189651457105,"0,1,2",0.0108499471753,0.0286481825419,0.0108499471753,0.0286481825419,0.00291346176527,1.08323466778,1.08614814281,4bfa8380651d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1235/run-4bfa8380651d
complete,lorenz,default,"beta,rho,sigma",mlp,1235,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.0113155298729,0.0113155298729,"0,1,2",0.00882450787896,0.0182545905433,0.00882450787896,0.0182545905433,0.00130862032529,0.000880111358128,0.00218873168342,62183d9a2697,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1235/run-62183d9a2697
complete,lorenz,default,"beta,rho,sigma",mlp,1235,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.0151277198357,0.0151277198357,"0,1,2",0.00631131165127,0.0251788019296,0.00631131165127,0.0251788019296,0.00159690843429,1.02575063705,1.0273475647,70f9f387860f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1235/run-70f9f387860f
complete,lorenz,default,"beta,rho,sigma",mlp,1236,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.027146766728,0.027146766728,"0,1,2",0.00882359169167,0.0528356860716,0.00882359169167,0.0528356860716,0.00673566060141,0.00209877453744,0.00883443467319,1187cc234d0e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1236/run-1187cc234d0e
complete,lorenz,default,"beta,rho,sigma",mlp,1236,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0224497380835,0.0224497380835,"0,1,2",0.0111801416631,0.0399397657259,0.0111801416631,0.0399397657259,0.0067398189567,0.876348555088,0.883088350296,b6b8ee2624f6,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/lorenz-locality-default-e100-n128-strong-ms2/lorenz/preset-default/active-beta-rho-sigma/mlp/seed-1236/run-b6b8ee2624f6
