status,project,preset,active_params,model,seed,n_refs,radius_pct,n_sensors,noise,observation_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,run_hash,run_dir
complete,nagumo1d,default,"alpha,b,gamma",mlp,1234,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0842048615035,0.0842048615035,"0,1,2",0.104349214727,0.0522211229243,0.104349214727,0.0522211229243,0.303079873323,0.138067871332,0.441147744656,53d1bd6db9cf,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1234/run-53d1bd6db9cf
complete,nagumo1d,default,"alpha,b,gamma",mlp,1234,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0861498496523,0.0861498496523,"0,1,2",0.0957168954125,0.056066671657,0.0957168954125,0.056066671657,0.294186592102,0.124041125178,0.418227732182,6f0530062d89,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1234/run-6f0530062d89
complete,nagumo1d,default,"alpha,b,gamma",mlp,1234,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.0847609685121,0.0847609685121,"0,1,2",0.0929910980778,0.0594687844252,0.0929910980778,0.0594687844252,0.320185989141,0.157227680087,0.477413654327,b2e09390a4c7,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1234/run-b2e09390a4c7
complete,nagumo1d,default,"alpha,b,gamma",mlp,1234,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.0875400677847,0.0875400677847,"0,1,2",0.0981270901457,0.0670727419677,0.0981270901457,0.0670727419677,0.32198625803,0.121322616935,0.443308889866,c650b129995d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1234/run-c650b129995d
complete,nagumo1d,default,"alpha,b,gamma",mlp,1235,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0701350450552,0.0701350450552,"0,1,2",0.109950250459,0.0410697748194,0.109950250459,0.0410697748194,0.295492053032,0.190122738481,0.485614776611,210525309d85,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1235/run-210525309d85
complete,nagumo1d,default,"alpha,b,gamma",mlp,1235,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0694631251088,0.0694631251088,"0,1,2",0.112143888716,0.0364707888611,0.112143888716,0.0364707888611,0.295683652163,0.205895558,0.501579225063,0c9c6b43102d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1235/run-0c9c6b43102d
complete,nagumo1d,default,"alpha,b,gamma",mlp,1235,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.0667328536128,0.0667328536128,"0,1,2",0.100550832104,0.0417615650523,0.100550832104,0.0417615650523,0.251005321741,0.0548658184707,0.305871129036,4280597296cd,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1235/run-4280597296cd
complete,nagumo1d,default,"alpha,b,gamma",mlp,1235,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.0635196152382,0.0635196152382,"0,1,2",0.0995367527374,0.0358619901937,0.0995367527374,0.0358619901937,0.273988902569,0.0536360107362,0.32762491703,90117363d260,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1235/run-90117363d260
complete,nagumo1d,default,"alpha,b,gamma",mlp,1236,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0702540593346,0.0702540593346,"0,1,2",0.0911721758581,0.0301541143118,0.0911721758581,0.0301541143118,0.251072883606,0.115399204195,0.366472095251,739fc539acc5,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1236/run-739fc539acc5
complete,nagumo1d,default,"alpha,b,gamma",mlp,1236,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0707471792045,0.0707471792045,"0,1,2",0.095655977836,0.0289641522823,0.095655977836,0.0289641522823,0.257698297501,0.119257949293,0.376956254244,02a547f79cc5,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/nagumo1d-locality-default-e100-n128-strong-ms2/nagumo1d/preset-default/active-alpha-b-gamma/mlp/seed-1236/run-02a547f79cc5
