status,project,preset,grid_profile,active_params,model,seed,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_events_per_sample,test_observation_events_per_sample,test_observation_first_active_index,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,activation_samples,0,0,100,0.001,16,20,strong,absolute,cuda,0.000603327706649,0.000603327706649,"0,1,2",0.00121650533705,0.000449201042066,0.00121650533705,0.000449201042066,0.277232527733,0.000243385511567,0.277232527733,1,1,4,4,0,61f6c5e4f2e1,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-61f6c5e4f2e1
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,activation_samples,0,0,100,0.001,16,64,strong,absolute,cuda,0.000622142755203,0.000622142755203,"0,1,2",0.00130341462288,0.000420049712203,0.00130341462288,0.000420049712203,0.250169068575,0.000257084378973,0.250169068575,1,1,4,4,0,bb4b56ccedd6,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-bb4b56ccedd6
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,threshold_times,0,0,100,0.001,16,20,strong,absolute,cuda,0.00120731293912,0.00120731293912,"0,1,2",0.00225429907691,0.000465583722556,0.00225429907691,0.000465583722556,0.398752659559,0.00103906134609,0.398752659559,1,1,4,4,0,fb31aac36319,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-threshold-times/convmultiplus/seed-1234/run-fb31aac36319
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,threshold_times,0,0,100,0.001,16,64,strong,absolute,cuda,0.00123451075098,0.00123451075098,"0,1,2",0.00228889887809,0.000478301219834,0.00228889887809,0.000478301219834,0.413123637438,0.00109212938696,0.413123637438,1,1,4,4,0,8b654364731d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-threshold-times/convmultiplus/seed-1234/run-8b654364731d
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,100,0.001,16,20,strong,absolute,cuda,0.00191405094219,0.00191405094219,"0,1,2",0.00447654241232,0.000379917864255,0.00447654241232,0.000379917864255,0.454088449478,0.00305925356224,0.454088449478,0.0078125,0.0078125,4,4,46.0769230769,9db05f88631b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/convmultiplus/seed-1234/run-9db05f88631b
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,100,0.001,16,64,strong,absolute,cuda,0.00191346444902,0.00191346444902,"0,1,2",0.00445014742284,0.000383351100864,0.00445014742284,0.000383351100864,0.4598338902,0.00305289635435,0.4598338902,0.0078125,0.0078125,4,4,46.0769230769,e9353d5ea95f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/convmultiplus/seed-1234/run-e9353d5ea95f
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,activation_samples,0,0,100,0.001,16,20,strong,absolute,cuda,0.000711635221259,0.000711635221259,"0,1,2",0.00151817079582,0.000430597428126,0.00151817079582,0.000430597428126,0.276131868362,0.000359092635335,0.276131868362,1,1,8,8,0,db3d050b092c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-db3d050b092c
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,activation_samples,0,0,100,0.001,16,64,strong,absolute,cuda,0.000682665985097,0.000682665985097,"0,1,2",0.00144569707385,0.000436060709629,0.00144569707385,0.000436060709629,0.279931873083,0.000324446999002,0.279931873083,1,1,8,8,0,24c245056d26,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-24c245056d26
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,threshold_times,0,0,100,0.001,16,20,strong,absolute,cuda,0.00121679416759,0.00121679416759,"0,1,2",0.00257409132783,0.000452923393161,0.00257409132783,0.000452923393161,0.36472594738,0.00112836353946,0.36472594738,1,1,8,8,0,f0dbc2c971ba,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-threshold-times/convmultiplus/seed-1234/run-f0dbc2c971ba
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,threshold_times,0,0,100,0.001,16,64,strong,absolute,cuda,0.00124602781003,0.00124602781003,"0,1,2",0.00261130500401,0.000474137177752,0.00261130500401,0.000474137177752,0.388012558222,0.00118982966524,0.388012558222,1,1,8,8,0,423c7dc75000,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-diagnostics-activation1d-e100-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-threshold-times/convmultiplus/seed-1234/run-423c7dc75000
