status,project,preset,grid_profile,active_params,model,seed,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.00173814993099,0.00173814993099,"0,1,2",0.0037781508084,0.000479874656511,0.0037781508084,0.000479874656511,0.538193702698,0.00237908470444,0.538193702698,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,46.0769230769,46.0769230769,,,,,0.00271161068371,0.00173814993099,0.00173814993099,0c2bbf0b103b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-0c2bbf0b103b
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0,50,0.001,16,64,strong,absolute,cuda,0.00173228340467,0.00173228340467,"0,1,2",0.003807903314,0.000480205920786,0.003807903314,0.000480205920786,0.544703483582,0.00239639799111,0.544703483582,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,46.0769230769,46.0769230769,,,,,0.00256202512124,0.00173228340467,0.00173228340467,5bf964f9d337,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-5bf964f9d337
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00303756799931,0.00303756799931,"0,1,2",0.00662446448662,0.000436041637193,0.00662446448662,0.000436041637193,0.866161644459,0.00528740044683,0.866161644459,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.6153846154,45.6153846154,,,,,0.00306555808314,0.00303756799931,0.00303756799931,b388cb242868,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-b388cb242868
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.03,50,0.001,16,64,strong,absolute,cuda,0.00301425340772,0.00301425340772,"0,1,2",0.00658976082845,0.000445140498834,0.00658976082845,0.000445140498834,0.864832401276,0.00530814565718,0.864832401276,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.6153846154,45.6153846154,,,,,0.00299961904516,0.00301425340772,0.00301425340772,15606a38fe18,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-15606a38fe18
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00298910134365,0.00298910134365,"0,1,2",0.00657234251725,0.000424301647391,0.00657234251725,0.000424301647391,0.847593486309,0.00524971773848,0.847593486309,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.4230769231,45.4230769231,,,,,0.00300964873219,0.00298910134365,0.00298910134365,c03f6bd2c7e8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-c03f6bd2c7e8
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,64,strong,absolute,cuda,0.00300544792489,0.00300544792489,"0,1,2",0.00656122854349,0.000457511772955,0.00656122854349,0.000457511772955,0.87491941452,0.00540682580322,0.87491941452,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.4230769231,45.4230769231,,,,,0.00299584834819,0.00300544792489,0.00300544792489,2e81c422a517,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-2e81c422a517
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00304062441253,0.00304062441253,"0,1,2",0.00662922368826,0.000453061325691,0.00662922368826,0.000453061325691,0.88237118721,0.00541637418792,0.88237118721,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.8846153846,44.8846153846,,,,,0.00309561487044,0.00304062441253,0.00304062441253,fa10bddf5d1d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-fa10bddf5d1d
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,64,strong,absolute,cuda,0.00286763433939,0.00286763433939,"0,1,2",0.005868263485,0.000570030888068,0.005868263485,0.000570030888068,1.00821948051,0.00423468556255,1.00821948051,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.8846153846,44.8846153846,,,,,0.00325489663932,0.00286763433939,0.00286763433939,aa874d50e285,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-aa874d50e285
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.15,50,0.001,16,20,strong,absolute,cuda,0.003075428282,0.003075428282,"0,1,2",0.00671999239231,0.000431285316142,0.00671999239231,0.000431285316142,0.898047029972,0.00562798418105,0.898047029972,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.1923076923,44.1923076923,,,,,0.00303240913939,0.00304539435008,0.003075428282,c6913c598f11,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmultiplus/seed-1234/run-c6913c598f11
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.15,50,0.001,16,64,strong,absolute,cuda,0.00302662330372,0.00302662330372,"0,1,2",0.00660873932634,0.000436812787263,0.00660873932634,0.000436812787263,0.862302958965,0.00525640044361,0.862302958965,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.1923076923,44.1923076923,,,,,0.00301621827008,0.00300776092272,0.00302662330372,c7850481a36a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-capacity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmultiplus/seed-1234/run-c7850481a36a
