status,project,preset,grid_profile,active_params,model,seed,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,2,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.00200269861366,0.00200269861366,"0,1,2",0.00427158092231,0.000440438354406,0.00427158092231,0.000440438354406,0.567668616772,0.00297251297161,0.567668616772,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,46.0769230769,46.0769230769,,,,,0.00340542842449,0.00200269861366,0.00200269861366,55c0fb5cf005,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-55c0fb5cf005
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,2,event_traces,0,0,jitter,0.01,50,0.001,16,20,strong,absolute,cuda,0.00277644019502,0.00277644019502,"0,1,2",0.00584278754617,0.000422738345202,0.00584278754617,0.000422738345202,0.865777432919,0.00448734033853,0.865777432919,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,46.5,46.5,,,,,0.00355212411338,0.00277644019502,0.00277644019502,5f0adaa89506,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-01/convmultiplus/seed-1234/run-5f0adaa89506
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,2,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00278622432203,0.00278622432203,"0,1,2",0.00595651390628,0.000460696164877,0.00595651390628,0.000460696164877,0.917835831642,0.00518143782392,0.917835831642,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,46.9230769231,46.9230769231,,,,,0.00345621658827,0.00278622432203,0.00278622432203,650a24c38a9a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-650a24c38a9a
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,2,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00290119168637,0.00290119168637,"0,1,2",0.00639868338821,0.000461518735115,0.00639868338821,0.000461518735115,0.90048456192,0.00571752898395,0.90048456192,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,47.4230769231,47.4230769231,,,,,0.00380383592817,0.00290119168637,0.00290119168637,cd844a5fb32a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-cd844a5fb32a
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,2,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00302924784941,0.00302924784941,"0,1,2",0.0066553259377,0.000444731448184,0.0066553259377,0.000444731448184,0.868311941624,0.00541877420619,0.868311941624,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,48.7692307692,48.7692307692,,,,,0.0031210496731,0.00302924784941,0.00302924784941,0459dc418760,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-0459dc418760
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,2,event_traces,0,0,jitter,0.15,50,0.001,16,20,strong,absolute,cuda,0.0027437236927,0.0027437236927,"0,1,2",0.00551874363032,0.000588392673157,0.00551874363032,0.000588392673157,1.1361489296,0.00851622410119,1.1361489296,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,50.1923076923,50.1923076923,,,,,0.0033392670777,0.00280177602112,0.0027437236927,5cb13c785218,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmultiplus/seed-1234/run-5cb13c785218
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,2,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00265449549432,0.00265449549432,"0,1,2",0.00498986674425,0.000600326917141,0.00498986674425,0.000600326917141,1.03871846199,0.00373770366423,1.03871846199,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,51.3076923077,51.3076923077,,,,,0.002971766411,0.00280429548773,0.00265449549432,55f068a4b799,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-55f068a4b799
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.00192676105403,0.00192676105403,"0,1,2",0.00445215035769,0.000382224662,0.00445215035769,0.000382224662,0.45672494173,0.00303278095089,0.45672494173,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46.0769230769,46.0769230769,,,,,0.00278652976393,0.00192676105403,0.00192676105403,f82768564b66,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-f82768564b66
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.01,50,0.001,16,20,strong,absolute,cuda,0.00301882792588,0.00301882792588,"0,1,2",0.00663336391859,0.000467332497864,0.00663336391859,0.000467332497864,0.88287872076,0.0053856628947,0.88287872076,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46.0384615385,46.0384615385,,,,,0.00303162344891,0.00301882792588,0.00301882792588,153c34602a0d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-01/convmultiplus/seed-1234/run-153c34602a0d
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00303654713222,0.00303654713222,"0,1,2",0.00656835030205,0.000459733796948,0.00656835030205,0.000459733796948,0.89713037014,0.00517033273354,0.89713037014,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46,46,,,,,0.00307506963783,0.00303654713222,0.00303654713222,9dcdc01a833e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-9dcdc01a833e
