status,project,preset,grid_profile,active_params,model,seed,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.000526389431481,0.000789584147222,"1,2",0,0.000435739633728,0.000435739633728,0.00114342866072,0.454929888248,9.95632187806e-11,0.454929888248,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46,46,,,,,0.000785197518457,0.000789584147222,0.000789584147222,0f2e05b602a3,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-0f2e05b602a3
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.000802827469023,0.00120424120353,"1,2",0,0.000472253424265,0.000472253424265,0.0019362289828,0.887445509434,9.95698454243e-11,0.887445509434,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.9230769231,45.9230769231,,,,,0.00143042211909,0.00120424120353,0.00120424120353,951613e599d9,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-951613e599d9
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.000813477114591,0.00122021567189,"1,2",0,0.000435178834258,0.000435178834258,0.00200525250952,0.716769456863,9.95698454243e-11,0.716769456863,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.9230769231,45.9230769231,,,,,0.00121587769881,0.00122021567189,0.00122021567189,fbfc49ef9f13,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-fbfc49ef9f13
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.000793832575205,0.00119074886281,"1,2",0,0.000449688505167,0.000449688505167,0.00193180922045,0.720660328865,9.95698454243e-11,0.720660328865,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.8461538462,45.8461538462,,,,,0.00121938360747,0.00119074886281,0.00119074886281,78cc163ac00c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-78cc163ac00c
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.15,50,0.001,16,20,strong,absolute,cuda,0.000786799419277,0.00118019912892,"1,2",0,0.00042274302661,0.00042274302661,0.00193765523122,0.693397819996,9.95698454243e-11,0.693397819996,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.6923076923,45.6923076923,,,,,0.00121729892636,0.00117521383081,0.00118019912892,890e445d7fb0,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmultiplus/seed-1234/run-890e445d7fb0
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.000757961753598,0.0011369426304,"1,2",0,0.000414060680435,0.000414060680435,0.00185982458036,0.694777905941,9.95698454243e-11,0.694777905941,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.6153846154,45.6153846154,,,,,0.00137293484653,0.00114216340239,0.0011369426304,776a1e0b76d7,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-776a1e0b76d7
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.000396564631471,0.000594846947207,"1,2",0,0.000369063910547,0.000369063910547,0.000820629983867,0.340886563063,9.95632187806e-11,0.340886563063,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,46,46,,,,,0.00081888747035,0.000594846947207,0.000594846947207,969fdf7103e9,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-969fdf7103e9
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.000808566512818,0.00121284976923,"1,2",0,0.000423568338324,0.000423568338324,0.00200213120013,0.692734062672,9.95698454243e-11,0.692734062672,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.5384615385,45.5384615385,,,,,0.00121843117253,0.00121284976923,0.00121284976923,57dab0e90782,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-57dab0e90782
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.000759699484395,0.00113954922659,"1,2",0,0.000503567153133,0.000503567153133,0.00177553130005,0.837727069855,9.95731552766e-11,0.837727069855,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.3461538462,45.3461538462,,,,,0.00132463158064,0.00113954922659,0.00113954922659,be16c7c5e7f2,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-be16c7c5e7f2
complete,activation1d,default,full,"t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.000777153360955,0.00116573004143,"1,2",0,0.000444063188417,0.000444063188417,0.00188739689445,0.687764167786,9.95698454243e-11,0.687764167786,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.8076923077,44.8076923077,,,,,0.00119142436207,0.00116573004143,0.00116573004143,f06ebbcbadfd,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-target-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-f06ebbcbadfd
