status,project,preset,grid_profile,active_params,model,seed,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.05,20,0.001,16,20,strong,absolute,cuda,0.00286332670414,0.00286332670414,"0,1,2",0.00599698845168,0.000574296223965,0.00599698845168,0.000574296223965,1.03492212296,0.00468575209379,1.03492212296,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46.6923076923,46.6923076923,,,,,0.00278034624557,0.00286332670414,0.00286332670414,468ed31d1c72,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-468ed31d1c72
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,dropout,0.05,20,0.001,16,20,strong,absolute,cuda,0.00169585331434,0.00169585331434,"0,1,2",0.00332672099485,0.000725003129551,0.00332672099485,0.000725003129551,0.802841067314,0.00181441986933,0.802841067314,0.00746783088235,0.00676081730769,0.00746783088235,0.00676081730769,3.82352941176,3.46153846154,3.82352941176,3.46153846154,46.1538461538,46.1538461538,,,,,0.00219171364333,0.00169585331434,0.00169585331434,bdf29f508bf3,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-dropout-0-05/convmultiplus/seed-1234/run-bdf29f508bf3
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,false_events,0.05,20,0.001,16,20,strong,absolute,cuda,0.00270287260296,0.00270287260296,"0,1,2",0.00547938623423,0.000781690585461,0.00547938623423,0.000781690585461,1.24748361111,0.00453419378027,1.24748361111,0.0571384803922,0.0494290865385,0.0571384803922,0.0494290865385,29.2549019608,25.3076923077,29.2549019608,25.3076923077,20.1538461538,20.1538461538,,,,,0.00343981271787,0.0026995044958,0.00262249298727,32644ee9b284,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-false-events-0-05/convmultiplus/seed-1234/run-32644ee9b284
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.05,20,0.001,16,20,strong,absolute,cuda,0.00285255439702,0.00285255439702,"0,1,2",0.00586265532543,0.000685461752079,0.00586265532543,0.000685461752079,1.13012385368,0.00437400396913,1.13012385368,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.1538461538,45.1538461538,,,,,0.0026406979823,0.00285255439702,0.00285255439702,264b6d31919f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-264b6d31919f
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,dropout,0.05,20,0.001,16,20,strong,absolute,cuda,0.0019546282978,0.0019546282978,"0,1,2",0.0038059300641,0.000750132791661,0.0038059300641,0.000750132791661,0.888305485249,0.00254512275569,0.888305485249,0.00754442401961,0.00713641826923,0.00754442401961,0.00713641826923,7.72549019608,7.30769230769,7.72549019608,7.30769230769,46.1538461538,46.1538461538,,,,,0.00233722696613,0.0019546282978,0.0019546282978,a39daa3b522e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-dropout-0-05/convmultiplus/seed-1234/run-a39daa3b522e
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,false_events,0.05,20,0.001,16,20,strong,absolute,cuda,0.00268816296521,0.00268816296521,"0,1,2",0.00511140206257,0.000777780750013,0.00511140206257,0.000777780750013,1.24286437035,0.00373923475854,1.24286437035,0.0582490808824,0.0554387019231,0.0582490808824,0.0554387019231,59.6470588235,56.7692307692,59.6470588235,56.7692307692,16.9230769231,16.9230769231,,,,,0.00284606206549,0.00336149302017,0.00285379564774,78d63b101f7e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-false-events-0-05/convmultiplus/seed-1234/run-78d63b101f7e
complete,activation1d,default,full,"s,t0,x0",snnplus,1234,0,1,4,event_traces,0,0,jitter,0.05,20,0.001,16,20,strong,absolute,cuda,0.00270620367794,0.00270620367794,"0,1,2",0.00540893927934,0.000742018536269,0.00540893927934,0.000742018536269,1.12334501743,0.00400059157982,1.12334501743,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46.6923076923,46.6923076923,0.015625,0.065407127142,0.00471754791215,12.0769233704,0.0027019054571,0.00270620367794,0.00270620367794,8019c97fb21b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/snnplus/seed-1234/run-8019c97fb21b
complete,activation1d,default,full,"s,t0,x0",snnplus,1234,0,1,4,event_traces,0,0,dropout,0.05,20,0.001,16,20,strong,absolute,cuda,0.00269451276179,0.00269451276179,"0,1,2",0.00533028865808,0.000741704465641,0.00533028865808,0.000741704465641,1.13178694248,0.00398434419185,1.13178694248,0.00746783088235,0.00676081730769,0.00746783088235,0.00676081730769,3.82352941176,3.46153846154,3.82352941176,3.46153846154,46.1538461538,46.1538461538,0.0135216349736,0.065552547574,0.00339543260634,8.6923084259,0.00269386991041,0.00269451276179,0.00269451276179,9351b20eec22,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-dropout-0-05/snnplus/seed-1234/run-9351b20eec22
complete,activation1d,default,full,"s,t0,x0",snnplus,1234,0,1,4,event_traces,0,0,false_events,0.05,20,0.001,16,20,strong,absolute,cuda,0.00271815135257,0.00271815135257,"0,1,2",0.00539307527389,0.000741919959357,0.00539307527389,0.000741919959357,1.13319218159,0.00398048106581,1.13319218159,0.0571384803922,0.0494290865385,0.0571384803922,0.0494290865385,29.2549019608,25.3076923077,29.2549019608,25.3076923077,20.1538461538,20.1538461538,0.0932992845774,0.0670317411423,0.0219951923937,56.3076934814,0.00271852846658,0.00271892296527,0.00272358206167,0c7ce1e9cd17,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-false-events-0-05/snnplus/seed-1234/run-0c7ce1e9cd17
complete,activation1d,default,full,"s,t0,x0",snnplus,1234,0,1,8,event_traces,0,0,jitter,0.05,20,0.001,16,20,strong,absolute,cuda,0.00269705179083,0.00269705179083,"0,1,2",0.00517577507893,0.000732213572204,0.00517577507893,0.000732213572204,1.16634845734,0.0040171504952,1.16634845734,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.1538461538,45.1538461538,0.015625,0.062125492841,0.00507812481374,13.0000009537,0.00269785339689,0.00269705179083,0.00269705179083,6512e409e812,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-noise-activation1d-e20-n64-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/snnplus/seed-1234/run-6512e409e812
