status,project,preset,grid_profile,active_params,model,seed,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,4,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.00247121933586,0.00247121933586,"0,1,2",0.00595181885111,0.000425915740018,0.00595181885111,0.000425915740018,0.641942441463,0.00481594773009,0.641942441463,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46.0769230769,46.0769230769,,,,,0.00276477323792,0.00247121933586,0.00247121933586,a3fa8181da8f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmulti/seed-1234/run-a3fa8181da8f
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,4,event_traces,0,0,jitter,0.01,50,0.001,16,20,strong,absolute,cuda,0.00300545677164,0.00300545677164,"0,1,2",0.00658083847162,0.000430391836224,0.00658083847162,0.000430391836224,0.853137493134,0.00524999666959,0.853137493134,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46.0384615385,46.0384615385,,,,,0.00300849694641,0.00300545677164,0.00300545677164,27c3bf58878a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-01/convmulti/seed-1234/run-27c3bf58878a
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,4,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.0030063198541,0.0030063198541,"0,1,2",0.00658619830468,0.000428774200552,0.00658619830468,0.000428774200552,0.852689623833,0.00525057548657,0.852689623833,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46,46,,,,,0.0030096008741,0.0030063198541,0.0030063198541,c474cabf1bb8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmulti/seed-1234/run-c474cabf1bb8
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,4,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00296654113134,0.00296654113134,"0,1,2",0.00647198663534,0.000446547225763,0.00647198663534,0.000446547225763,0.857616901398,0.00525695085526,0.857616901398,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46,46,,,,,0.00298836320123,0.00296654113134,0.00296654113134,24a7720ebccb,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-24a7720ebccb
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,4,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00300319881944,0.00300319881944,"0,1,2",0.00657674409102,0.000436824822816,0.00657674409102,0.000436824822816,0.857790708542,0.00529250316322,0.857790708542,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.9230769231,45.9230769231,,,,,0.00301467232095,0.00300319881944,0.00300319881944,fe8fc6fabe75,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmulti/seed-1234/run-fe8fc6fabe75
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,4,event_traces,0,0,jitter,0.15,50,0.001,16,20,strong,absolute,cuda,0.00300144968048,0.00300144968048,"0,1,2",0.00657123753884,0.000444915262051,0.00657123753884,0.000444915262051,0.859504699707,0.00529375998303,0.859504699707,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.7692307692,45.7692307692,,,,,0.00300273639116,0.0029990537029,0.00300144968048,8256416d9e45,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmulti/seed-1234/run-8256416d9e45
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,4,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00301396462739,0.00301396462739,"0,1,2",0.00660885265466,0.000431193060199,0.00660885265466,0.000431193060199,0.856882929802,0.00527896685526,0.856882929802,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.6923076923,45.6923076923,,,,,0.00299958108496,0.00301370156458,0.00301396462739,29b0c3ea9c11,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmulti/seed-1234/run-29b0c3ea9c11
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,8,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.00194372896627,0.00194372896627,"0,1,2",0.00442006123749,0.000441527428599,0.00442006123749,0.000441527428599,0.502636671066,0.00271124136634,0.502636671066,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,46.0769230769,46.0769230769,,,,,0.00265468825244,0.00194372896627,0.00194372896627,3edea49dc3ed,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmulti/seed-1234/run-3edea49dc3ed
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,8,event_traces,0,0,jitter,0.01,50,0.001,16,20,strong,absolute,cuda,0.00300720120349,0.00300720120349,"0,1,2",0.00657111374458,0.000433165123329,0.00657111374458,0.000433165123329,0.866618514061,0.00538485962898,0.866618514061,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.9230769231,45.9230769231,,,,,0.00301318884996,0.00300720120349,0.00300720120349,a99ca6c1ccc1,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-01/convmulti/seed-1234/run-a99ca6c1ccc1
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,0,1,8,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00300871983384,0.00300871983384,"0,1,2",0.00658116858965,0.000438388298498,0.00658116858965,0.000438388298498,0.865959644318,0.00538960937411,0.865959644318,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.6153846154,45.6153846154,,,,,0.00301572166528,0.00300871983384,0.00300871983384,67898bca177c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a1-event-time-perturbation-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmulti/seed-1234/run-67898bca177c
