status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00300871983384,0.00300871983384,"0,1,2",0.00658116858965,0.000438388298498,0.00658116858965,0.000438388298498,0.865959644318,0.00538960937411,0.865959644318,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.6153846154,45.6153846154,,,,,0.00301572166528,0.00300871983384,0.00300871983384,67898bca177c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmulti/seed-1234/run-67898bca177c
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00299996531519,0.00299996531519,"0,1,2",0.00662219034018,0.000456548372204,0.00662219034018,0.000456548372204,0.862829566002,0.00536609068513,0.862829566002,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.4230769231,45.4230769231,,,,,0.00296414368936,0.00299996531519,0.00299996531519,443c5b249668,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-443c5b249668
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00301443687403,0.00301443687403,"0,1,2",0.00659943970576,0.000437959316992,0.00659943970576,0.000437959316992,0.860215008259,0.0052989423275,0.860215008259,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.8846153846,44.8846153846,,,,,0.00301114203669,0.00301443687403,0.00301443687403,9ab35ae083ed,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmulti/seed-1234/run-9ab35ae083ed
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,dropout,0.03,50,0.001,16,20,strong,absolute,cuda,0.00205565025666,0.00205565025666,"0,1,2",0.0047315367712,0.000442751043181,0.0047315367712,0.000442751043181,0.524312138557,0.00304408953525,0.524312138557,0.00764016544118,0.00754957932692,0.00764016544118,0.00754957932692,7.82352941176,7.73076923077,7.82352941176,7.73076923077,46.0769230769,46.0769230769,,,,,0.00272071758475,0.00205565025666,0.00205565025666,1d00637ed2bc,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-dropout-0-03/convmulti/seed-1234/run-1d00637ed2bc
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,dropout,0.05,50,0.001,16,20,strong,absolute,cuda,0.00219055031755,0.00219055031755,"0,1,2",0.00505081134342,0.000441750086334,0.00505081134342,0.000441750086334,0.549948215485,0.00331403501332,0.549948215485,0.00750612745098,0.00739933894231,0.00750612745098,0.00739933894231,7.6862745098,7.57692307692,7.6862745098,7.57692307692,46.0769230769,46.0769230769,,,,,0.00268587559029,0.00219055031755,0.00219055031755,c31fc3e7b992,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-dropout-0-05/convmulti/seed-1234/run-c31fc3e7b992
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,dropout,0.1,50,0.001,16,20,strong,absolute,cuda,0.00234805022139,0.00234805022139,"0,1,2",0.00529948667923,0.00045189147277,0.00529948667923,0.00045189147277,0.634932637215,0.00372011144646,0.634932637215,0.00710401348039,0.00702373798077,0.00710401348039,0.00702373798077,7.27450980392,7.19230769231,7.27450980392,7.19230769231,50.5384615385,50.5384615385,,,,,0.00271059551678,0.00234805022139,0.00234805022139,0b139ad08a3a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-dropout-0-1/convmulti/seed-1234/run-0b139ad08a3a
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,false_events,0.03,50,0.001,16,20,strong,absolute,cuda,0.00298660205424,0.00298660205424,"0,1,2",0.00653843794031,0.000452298245912,0.00653843794031,0.000452298245912,0.861163914204,0.00517605245113,0.861163914204,0.0377125459559,0.0366962139423,0.0377125459559,0.0366962139423,38.6176470588,37.5769230769,38.6176470588,37.5769230769,19.4230769231,19.4230769231,,,,,0.00299186146243,0.00297398278754,0.00297501453661,307ee3e7e386,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-false-events-0-03/convmulti/seed-1234/run-307ee3e7e386
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,false_events,0.05,50,0.001,16,20,strong,absolute,cuda,0.00296465497954,0.00296465497954,"0,1,2",0.00646732371813,0.00047533270206,0.00646732371813,0.00047533270206,0.890191912651,0.00513347564265,0.890191912651,0.0578373927696,0.0575045072115,0.0578373927696,0.0575045072115,59.2254901961,58.8846153846,59.2254901961,58.8846153846,13.4615384615,13.4615384615,,,,,0.00299860740729,0.00296108006356,0.00295299784342,806e76966f64,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-false-events-0-05/convmulti/seed-1234/run-806e76966f64
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,false_events,0.1,50,0.001,16,20,strong,absolute,cuda,0.00296786980781,0.00296786980781,"0,1,2",0.00650261212523,0.000421033205473,0.00650261212523,0.000421033205473,0.862131595612,0.00526640890166,0.862131595612,0.109403722426,0.106745793269,0.109403722426,0.106745793269,112.029411765,109.307692308,112.029411765,109.307692308,7.15384615385,7.15384615385,,,,,0.00342991658725,0.00312283427891,0.00297679331135,1bdee9758847,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-false-events-0-1/convmulti/seed-1234/run-1bdee9758847
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,12,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00301278308037,0.00301278308037,"0,1,2",0.00659929757161,0.000434411424456,0.00659929757161,0.000434411424456,0.868962109089,0.00539094675332,0.868962109089,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,46,46,,,,,0.00303246689699,0.00301278308037,0.00301278308037,44a77eac5a7a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a2-perturbation-specificity-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmulti/seed-1234/run-44a77eac5a7a
