status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,16,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00279141065275,0.00279141065275,"0,1,2",0.00526118324657,0.000250613971315,0.00526118324657,0.000250613971315,0.727558255196,0.00424815900624,0.727558255196,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.75,45.75,,,,,0.00293661129271,0.00279141065275,0.00279141065275,8f1cbc879578,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-8f1cbc879578
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,32,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00263727950416,0.00263727950416,"0,1,2",0.00570525918216,0.000555609379791,0.00570525918216,0.000555609379791,0.990717709064,0.00498183723539,0.990717709064,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,43.7142857143,43.7142857143,,,,,0.00250317224653,0.00263727950416,0.00263727950416,33c09e3d2fec,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-33c09e3d2fec
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,64,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00279721472181,0.00279721472181,"0,1,2",0.00526243106249,0.000743869718987,0.00526243106249,0.000743869718987,1.22514557838,0.00401816284284,1.22514557838,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.1538461538,45.1538461538,,,,,0.00277667538151,0.00279721472181,0.00279721472181,e7c7f06087ec,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-e7c7f06087ec
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00299996531519,0.00299996531519,"0,1,2",0.00662219034018,0.000456548372204,0.00662219034018,0.000456548372204,0.862829566002,0.00536609068513,0.862829566002,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.4230769231,45.4230769231,,,,,0.00296414368936,0.00299996531519,0.00299996531519,443c5b249668,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-443c5b249668
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,16,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00278775986825,0.00278775986825,"0,1,2",0.00535315321346,0.000296151919923,0.00535315321346,0.000296151919923,0.733909785748,0.00417242059484,0.733909785748,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.75,45.75,,,,,0.00314986615673,0.00278775986825,0.00278775986825,d636978facb9,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmulti/seed-1234/run-d636978facb9
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,32,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00264095867182,0.00264095867182,"0,1,2",0.00569495609357,0.00055673548183,0.00569495609357,0.00055673548183,0.991780877113,0.004928201437,0.991780877113,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,42.1428571429,42.1428571429,,,,,0.00256732422899,0.00264095867182,0.00264095867182,93dfec41b221,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmulti/seed-1234/run-93dfec41b221
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,64,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00279731463601,0.00279731463601,"0,1,2",0.00524829100676,0.000747374357475,0.00524829100676,0.000747374357475,1.23561179638,0.00404960708693,1.23561179638,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.4615384615,44.4615384615,,,,,0.00278149590716,0.00279731463601,0.00279731463601,075e7e2871e6,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmulti/seed-1234/run-075e7e2871e6
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00301443687403,0.00301443687403,"0,1,2",0.00659943970576,0.000437959316992,0.00659943970576,0.000437959316992,0.860215008259,0.0052989423275,0.860215008259,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.8846153846,44.8846153846,,,,,0.00301114203669,0.00301443687403,0.00301443687403,9ab35ae083ed,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmulti/seed-1234/run-9ab35ae083ed
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,16,0,1,8,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00283873860334,0.00283873860334,"0,1,2",0.00537207768818,0.000264388232193,0.00537207768818,0.000264388232193,0.735900104046,0.00423025107011,0.735900104046,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.25,45.25,,,,,0.00302634546454,0.00284902040457,0.00283873860334,673dad79e010,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmulti/seed-1234/run-673dad79e010
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,32,0,1,8,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00264646465088,0.00264646465088,"0,1,2",0.00579362732552,0.000549007101014,0.00579362732552,0.000549007101014,0.980638802052,0.00504383584484,0.980638802052,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,38.2857142857,38.2857142857,,,,,0.00259020354285,0.00264666865487,0.00264646465088,05b1895f9e40,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmulti/seed-1234/run-05b1895f9e40
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,64,0,1,8,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00277775552466,0.00277775552466,"0,1,2",0.00522886906251,0.000741513616153,0.00522886906251,0.000741513616153,1.21841204166,0.00401697633788,1.21841204166,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,42.7692307692,42.7692307692,,,,,0.0027629817875,0.0027778212426,0.00277775552466,050b89159cb7,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmulti/seed-1234/run-050b89159cb7
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,8,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00288237390554,0.00288237390554,"0,1,2",0.00639738241737,0.000483165268193,0.00639738241737,0.000483165268193,0.867319941521,0.00523438537493,0.867319941521,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,43.5384615385,43.5384615385,,,,,0.00286626256421,0.00288453451705,0.00288237390554,a1e655900270,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmulti/seed-1234/run-a1e655900270
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,16,0,1,12,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00286152682498,0.00286152682498,"0,1,2",0.00541642354389,0.000318879916034,0.00541642354389,0.000318879916034,0.747690618038,0.00390249514021,0.747690618038,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,47.25,47.25,,,,,0.00303260643577,0.00286152682498,0.00286152682498,0957e3292b9f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-0957e3292b9f
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,32,0,1,12,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.0026183160026,0.0026183160026,"0,1,2",0.00574829373569,0.000562317031066,0.00574829373569,0.000562317031066,0.978967249393,0.00491436198354,0.978967249393,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,45.4285714286,45.4285714286,,,,,0.00267994142382,0.0026183160026,0.0026183160026,a6e79e74e0a8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-a6e79e74e0a8
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,64,0,1,12,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00269795378378,0.00269795378378,"0,1,2",0.00531826685972,0.000735755463595,0.00531826685972,0.000735755463595,1.13874471188,0.00401514722034,1.13874471188,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,45.1538461538,45.1538461538,,,,,0.00282446951876,0.00269795378378,0.00269795378378,7849e8bee582,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-7849e8bee582
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,128,0,1,12,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00298444779967,0.00298444779967,"0,1,2",0.00641352823374,0.000451068399696,0.00641352823374,0.000451068399696,0.91627061367,0.00522413989529,0.91627061367,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,45.8846153846,45.8846153846,,,,,0.00299823499705,0.00298444779967,0.00298444779967,3ef9ada4cae6,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmulti/seed-1234/run-3ef9ada4cae6
complete,activation1d,default,full,"s,t0,x0",convmulti,1234,16,0,1,12,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00282770305172,0.00282770305172,"0,1,2",0.00536561058422,0.00024575060483,0.00536561058422,0.00024575060483,0.723330259323,0.00423598568887,0.723330259323,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,48.5,48.5,,,,,0.00301464556947,0.00282770305172,0.00282770305172,50c4dabdf306,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a3-sample-efficiency-activation1d-e50-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmulti/seed-1234/run-50c4dabdf306
