status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,32,0,1,8,event_traces,0,0,jitter,0.1,20,0.001,16,20,strong,absolute,cuda,0.00223943793416,0.00223943793416,"0,1,2",0.00446356077123,0.000549725549857,0.00446356077123,0.000549725549857,0.905110538006,0.00370193039998,0.905110538006,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,42.1428571429,42.1428571429,,,,,0.00209625906246,0.00223943793416,0.00223943793416,4a485a170810,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-4a485a170810
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,32,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00223943793416,0.00223943793416,"0,1,2",0.00446356077123,0.000549725549857,0.00446356077123,0.000549725549857,0.905110538006,0.00370193039998,0.905110538006,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,42.1428571429,42.1428571429,,,,,0.00209625906246,0.00223943793416,0.00223943793416,1707bdb6f8f1,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-1707bdb6f8f1
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,64,0,1,8,event_traces,0,0,jitter,0.1,20,0.001,16,20,strong,absolute,cuda,0.00286647398176,0.00286647398176,"0,1,2",0.00570948423819,0.000688575521647,0.00570948423819,0.000688575521647,1.15707540512,0.00443341163918,1.15707540512,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.4615384615,44.4615384615,,,,,0.00274231626002,0.00286647398176,0.00286647398176,5cec003da505,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-5cec003da505
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,64,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00286647398176,0.00286647398176,"0,1,2",0.00570948423819,0.000688575521647,0.00570948423819,0.000688575521647,1.15707540512,0.00443341163918,1.15707540512,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.4615384615,44.4615384615,,,,,0.00274231626002,0.00286647398176,0.00286647398176,495e17cdf386,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-495e17cdf386
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,32,0,1,8,event_traces,0,0,jitter,0.2,20,0.001,16,20,strong,absolute,cuda,0.00235520482546,0.00235520482546,"0,1,2",0.00485357919231,0.000556620530015,0.00485357919231,0.000556620530015,0.966728210449,0.00427103321999,0.966728210449,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,38.2857142857,38.2857142857,,,,,0.00213064549548,0.00238137562683,0.00235520482546,b660d3389199,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-b660d3389199
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,32,0,1,8,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00235520482546,0.00235520482546,"0,1,2",0.00485357919231,0.000556620530015,0.00485357919231,0.000556620530015,0.966728210449,0.00427103321999,0.966728210449,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,38.2857142857,38.2857142857,,,,,0.00213064549548,0.00238137562683,0.00235520482546,6139c1832c34,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-6139c1832c34
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,64,0,1,8,event_traces,0,0,jitter,0.2,20,0.001,16,20,strong,absolute,cuda,0.00272998784162,0.00272998784162,"0,1,2",0.00560245263607,0.000725756784434,0.00560245263607,0.000725756784434,1.10461783409,0.00425091199577,1.10461783409,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,42.7692307692,42.7692307692,,,,,0.00264828831356,0.00270402161303,0.00272998784162,4d688d649732,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-4d688d649732
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,64,0,1,8,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00272998784162,0.00272998784162,"0,1,2",0.00560245263607,0.000725756784434,0.00560245263607,0.000725756784434,1.10461783409,0.00425091199577,1.10461783409,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,42.7692307692,42.7692307692,,,,,0.00264828831356,0.00270402161303,0.00272998784162,cb9c1a4a308a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-cb9c1a4a308a
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,32,0,1,12,event_traces,0,0,jitter,0.1,20,0.001,16,20,strong,absolute,cuda,0.00257919125026,0.00257919125026,"0,1,2",0.00520391568548,0.0005659188546,0.00520391568548,0.0005659188546,0.964402377605,0.00396937131882,0.964402377605,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,44.8571428571,44.8571428571,,,,,0.00258559269783,0.00257919125026,0.00257919125026,1108d5773e29,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-1108d5773e29
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,32,0,1,12,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00257919125026,0.00257919125026,"0,1,2",0.00520391568548,0.0005659188546,0.00520391568548,0.0005659188546,0.964402377605,0.00396937131882,0.964402377605,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,44.8571428571,44.8571428571,,,,,0.00258559269783,0.00257919125026,0.00257919125026,22e93a76ff5b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-levela-a6-spike-activity-latency-tradeoff-activation1d-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-22e93a76ff5b
