observation_mode,observation_noise,n_sensors,model,active_mae_mean,active_mae_std,test_mae_mean,active_fraction_mean,events_mean,first_index_mean,n
activation_samples,0.0,0,convmultiplus,0.0009171233685476666,0.0002852274302944749,0.0009171233685476666,1.0,200.0,0.0,3
activation_samples,0.0,0,fnobase,0.001778387016168,0.001101915220471754,0.001778387016168,1.0,200.0,0.0,3
activation_samples,0.0,0,snn,0.00286465877767,0.00017657005963163424,0.00286465877767,1.0,200.0,0.0,3
activation_samples,0.0,0,snnplus,0.0024172768668066663,3.403480051815505e-05,0.0024172768668066663,1.0,200.0,0.0,3
activation_samples,0.0,4,convmultiplus,0.0006452266554096667,3.684502842822708e-05,0.0006452266554096667,1.0,4.0,0.0,3
activation_samples,0.0,4,fnobase,0.0005368598512373333,5.041903564227552e-05,0.0005368598512373333,1.0,4.0,0.0,3
activation_samples,0.0,4,snn,0.00240450353901,3.2636452685927603e-06,0.00240450353901,1.0,4.0,0.0,3
activation_samples,0.0,4,snnplus,0.002378544501756667,1.1630339353024736e-05,0.002378544501756667,1.0,4.0,0.0,3
activation_samples,0.0,8,convmultiplus,0.0006932019845373333,2.7757545842453206e-05,0.0006932019845373333,1.0,8.0,0.0,3
activation_samples,0.0,8,fnobase,0.0016207848164373334,0.0009921088945360568,0.0016207848164373334,1.0,8.0,0.0,3
activation_samples,0.0,8,snn,0.0024067397586333334,1.0709869476535058e-05,0.0024067397586333334,1.0,8.0,0.0,3
activation_samples,0.0,8,snnplus,0.002392606595613333,4.411619779649131e-06,0.002392606595613333,1.0,8.0,0.0,3
activation_samples,0.0,12,convmultiplus,0.0006667708521833335,1.304335595191202e-05,0.0006667708521833335,1.0,12.0,0.0,3
activation_samples,0.0,12,fnobase,0.001720912327105,0.000838161593812539,0.001720912327105,1.0,12.0,0.0,3
activation_samples,0.0,12,snn,0.0024029266586,6.420663385632138e-06,0.0024029266586,1.0,12.0,0.0,3
activation_samples,0.0,12,snnplus,0.0024009129680433333,2.2823228778355167e-06,0.0024009129680433333,1.0,12.0,0.0,3
activation_samples,0.0001,0,convmultiplus,0.000949729005081,0.0003721474619853207,0.000949729005081,1.0,200.0,0.0,3
activation_samples,0.0001,0,fnobase,0.0017848202069336667,0.0010949934510893185,0.0017848202069336667,1.0,200.0,0.0,3
activation_samples,0.0001,0,snn,0.002883188780566667,0.00016980919678721048,0.002883188780566667,1.0,200.0,0.0,3
activation_samples,0.0001,0,snnplus,0.0024366899231066668,2.9377725328222977e-05,0.0024366899231066668,1.0,200.0,0.0,3
activation_samples,0.0001,4,convmultiplus,0.0006473585089946666,1.7088138208778796e-05,0.0006473585089946666,1.0,4.0,0.0,3
activation_samples,0.0001,4,fnobase,0.000536237865636,6.724910458073107e-05,0.000536237865636,1.0,4.0,0.0,3
activation_samples,0.0001,4,snn,0.0024071405393933333,9.790054269692294e-06,0.0024071405393933333,1.0,4.0,0.0,3
