status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,0,activation_samples,0,0,none,0,100,0.001,16,20,strong,absolute,cuda,0.000750228181153,0.000750228181153,"0,1,2",0.00160940276926,0.000436183444959,0.00160940276926,0.000436183444959,0.286891758442,0.000410590408137,0.286891758442,1,1,,,200,200,,,0,,,,,,,,,ca8454bcd21e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-ca8454bcd21e
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,0,activation_samples,0,0.0001,none,0,100,0.001,16,20,strong,absolute,cuda,0.000738655615953,0.000738655615953,"0,1,2",0.00159948886893,0.000463023777109,0.00159948886893,0.000463023777109,0.30091932416,0.000414719601395,0.30091932416,1,1,,,200,200,,,0,,,,,,,,,d79b5973b9a3,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-d79b5973b9a3
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,0,activation_samples,0,0.001,none,0,100,0.001,16,20,strong,absolute,cuda,0.000738442376208,0.000738442376208,"0,1,2",0.00154974498209,0.00045231730337,0.00154974498209,0.00045231730337,0.292626738548,0.00041412023711,0.292626738548,1,1,,,200,200,,,0,,,,,,,,,dd345d5fe7ee,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-dd345d5fe7ee
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,0,event_traces,0,0,none,0,100,0.001,16,20,strong,absolute,cuda,0.000640786417298,0.000640786417298,"0,1,2",0.00128241147895,0.000318324957646,0.00128241147895,0.000318324957646,0.151766002178,0.000318526435876,0.151766002178,0.0078125,0.0078125,,,200,200,,,46.0769230769,,,,,,,,,711dc720a086,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/convmultiplus/seed-1234/run-711dc720a086
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,0,event_traces,0,0.0001,none,0,100,0.001,16,20,strong,absolute,cuda,0.000603687144646,0.000603687144646,"0,1,2",0.00119714156232,0.000337692209182,0.00119714156232,0.000337692209182,0.158849328756,0.000292141747195,0.158849328756,1,1,,,25600,25600,,,0,,,,,,,,,8b4f7bec1135,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/convmultiplus/seed-1234/run-8b4f7bec1135
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,0,event_traces,0,0.001,none,0,100,0.001,16,20,strong,absolute,cuda,0.000628288028245,0.000628288028245,"0,1,2",0.00130465884437,0.000339803120421,0.00130465884437,0.000339803120421,0.149179115891,0.00028353347443,0.149179115891,1,1,,,25600,25600,,,0,,,,,,,,,fc65d1b3adcb,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/convmultiplus/seed-1234/run-fc65d1b3adcb
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,4,activation_samples,0,0,none,0,100,0.001,16,20,strong,absolute,cuda,0.000603327706649,0.000603327706649,"0,1,2",0.00121650533705,0.000449201042066,0.00121650533705,0.000449201042066,0.277232527733,0.000243385511567,0.277232527733,1,1,,,4,4,,,0,,,,,,,,,61f6c5e4f2e1,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-61f6c5e4f2e1
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,4,activation_samples,0,0.0001,none,0,100,0.001,16,20,strong,absolute,cuda,0.000628658754668,0.000628658754668,"0,1,2",0.00117966113444,0.000446640247516,0.00117966113444,0.000446640247516,0.276024132967,0.000198015157366,0.276024132967,1,1,,,4,4,,,0,,,,,,,,,894e14ef7cb1,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-894e14ef7cb1
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,4,activation_samples,0,0.001,none,0,100,0.001,16,20,strong,absolute,cuda,0.000784956521585,0.000784956521585,"0,1,2",0.00151222057324,0.000459573825347,0.00151222057324,0.000459573825347,0.308569699526,0.000346756336512,0.308569699526,1,1,,,4,4,,,0,,,,,,,,,21a74ff0dccb,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-activation-samples/convmultiplus/seed-1234/run-21a74ff0dccb
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,128,0,1,4,event_traces,0,0,none,0,100,0.001,16,20,strong,absolute,cuda,0.00191405094219,0.00191405094219,"0,1,2",0.00447654241232,0.000379917864255,0.00447654241232,0.000379917864255,0.454088449478,0.00305925356224,0.454088449478,0.0078125,0.0078125,,,4,4,,,46.0769230769,,,,,,,,,9db05f88631b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-phase3-activation1d-e100-n128-ms3/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/convmultiplus/seed-1234/run-9db05f88631b
